address,author,bibtex_type,booktitle,ca_doctype_trigger,ca_language_trigger,chapter,description,edition,editor,endpage_int,gbid,glottolog_id,google_book_search_id,howpublished,iaid,id,inlg,inlg_code,journal,jsondata,keywords,language_note,macroareas,markup_description,med_index,med_pages,med_type,name,normalizedauthorstring,normalizededitorstring,note,number,organization,ozbib_id,pages,pages_int,pk,publisher,school,series,srctrickle,startpage_int,subject,subject_headings,title,type,url,volume,year,year_int
Ann Arbor,"Josserand, Judy Kathryn",phdthesis,,,,,Mixtec dialect history,,,,,,,,,75892,English [eng],,,"{""class_loc"": ""PM4016"", ""mpifn"": ""mixtec_josserand1983_o.pdf"", ""glottolog_ref_id"": ""75892"", ""lgcode"": ""Coatzospan Mixtec [miz]"", ""src"": ""mpieva"", ""document_type"": ""B"", ""macro_area"": ""North America"", ""fn"": ""north_america/josserand_mixtec1983_o.pdf, north_america\\josserand _mixtec1983v2.pdf""}",,Coatzospan Mixtec [miz],North America,,16,727,wordlist_or_less,"Josserand, Judy Kathryn 1983",,,,,,,727,727,164322,UMI,University of New Orleans,,mpieva#Josserand1983Mixtecdi,,,"Mixtec language – History, Mixtec language – Dialects, Mixtec language – History – Mixtec language – Dialects",Mixtec dialect history,,,,1983,1983
,,incollection,Discourse studies in Mesoamerican languages. Vol. 2: Texts,texte,,,Texte: Frog and Deer Story Orange Tree Story Rabbit and Coyote Story,,Jones and Robert,,,,,,,545399,English [eng],,,"{""hhtype"": ""text (computerized assignment from \""texte\"")"", ""languageid"": ""2012"", ""glottolog_ref_id"": ""545399"", ""lgcode"": ""Mixtec (Coatzospan) (autotyp: 2012 miz coat1241) = Coatzospan Mixtec [miz]"", ""src"": ""autotyp"", ""macro_area"": ""North America""}",,Mixtec (Coatzospan) (autotyp: 2012 miz coat1241) = Coatzospan Mixtec [miz],North America,,5,0,phonology_or_text,na 1979,,,,,,,,,163350,,,,autotyp#4006,,,,Texte: Frog and Deer Story Orange Tree Story Rabbit and Coyote Story,,,,1979,1979
,"Johnson, Audrey",misc,,,,,Primer stories for the San Juan Mixtepec Mixtec,,,,,,,"En Notes on literacy (Summer Institute of Linguistics, Dallas), no. 16, pp. 9-10",,305480,English [eng],,Notes on Literacy,"{""sil_id"": ""22799"", ""glottolog_ref_id"": ""305480"", ""lgcode"": ""Mixtepec Mixtec [mix]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Mixtepec Mixtec [mix],North America,,16,2,wordlist_or_less,"Johnson, Audrey 1974",,,,,,,9-10,2,162804,,,,"otomanguean#Mixtec158, sil16#22799",,Literacy materials [LMA],,Primer stories for the San Juan Mixtepec Mixtec,,,16,1974,1974
Dallas,"Johnson, Audrey F.",book,,syntax,,,"A syntactic sketch of Jamiltepec Mixtec. In Studies in the syntax of Mixtecan languages 1, pp. 11-150",,,,,,,,,148773,English [eng],,,"{""src"": ""wals"", ""hhtype"": ""grammar (computerized assignment from \""syntax\"")"", ""macro_area"": ""North America"", ""glottolog_ref_id"": ""148773"", ""lgcode"": ""Jamiltepec Mixtec [mxt]""}",,Jamiltepec Mixtec [mxt],North America,,0,0,grammar,"Johnson, Audrey F. 1988",,,,,,,,,162758,Summer Institute of Linguistics,,,wals#2979,,,,"A syntactic sketch of Jamiltepec Mixtec. In Studies in the syntax of Mixtecan languages 1, pp. 11-150",,,,1988,1988
Dallas,"Johnson, Audrey F.",incollection,Studies in the syntax of Mixtecan languages 1,,,,A syntactic sketch of Jamiltepec Mixtec,,C. Henry Bradley and Barbara E. Hollenbach,,,,,"En Bradley y Hollenbach 1988, pp. 11-150",,27269,English [eng],,,"{""cfn"": ""north_america\\johnson_jamiltepec-mixtec1988_o.pdf"", ""besttxt"": ""ptxt2\\north_america\\johnson_jamiltepec-mixtec1988_o.txt"", ""glottolog_ref_id"": ""27269"", ""lgcode"": ""Jamiltepec Mixtec [mxt]"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""sil_id"": ""21686"", ""delivered"": ""north_america\\johnson_jamiltepec-mixtec1988_o.pdf"", ""hhtype"": ""grammar"", ""src"": ""hh, otomanguean, sil16"", ""fn"": ""north_america\\johnson_jamiltepec-mixtec1988_o.pdf, north_america\\bradley-hollenbach_mixtecan1988_o.pdf"", ""country"": ""Mexico [MX]""}",,Jamiltepec Mixtec [mxt],North America,,0,140,grammar,"Johnson, Audrey F. 1988",,,,,,,11-150,140,162757,Summer Institute of Linguistics and the University of Texas at Arlington,,Summer Institute of Linguistics Publications in Linguistics,"hh#g:Johnson:Jamiltepec-Mixtec, otomanguean#Mixtec161, sil16#21686",,"Grammatical descriptions [GRD], Syntax [STX]",,A syntactic sketch of Jamiltepec Mixtec,,http://www.sil.org/acpub/repository/21686.pdf,83,1988,1988
,"Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon",book,,diccionario,,,"Diccionario básico del mixteco de Xochapa, Guerrero",,,,,,,,,50994,Spanish [spa],,,"{""hhtype"": ""dictionary (computerized assignment from \""diccionario\"")"", ""glottolog_ref_id"": ""50994"", ""lgcode"": ""Alcozauca Mixtec [xta]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""48593"", ""country"": ""Mexico [MX]""}",,Alcozauca Mixtec [xta],North America,,2,0,phonology_or_text,"Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon 2006",,,,,,,,,162647,2nd ed,,,sil16#48593,,Dictionaries and vocabularies [DAV],,"Diccionario básico del mixteco de Xochapa, Guerrero",,http://www.sil.org/mexico/mixteca/xochapa/P004-DiccXochapa-xta.htm,,2006,2006
"Coyoacán, Mexico","Stark, Sharon and Johnson, Audrey F. and González de Guzmán, Benita",book,,,,,"Diccionario básico del Mixteco de Xochapa, Guerrero",2,,,,,,,,50997,Spanish [spa],,,"{""cfn"": ""north_america\\stark_mixteco2003_s.pdf"", ""hhtype"": ""grammar_sketch;dictionary"", ""macro_area"": ""North America"", ""delivered"": ""north_america\\stark_mixteco2003_s.pdf"", ""glottolog_ref_id"": ""50997"", ""lgcode"": ""Alcozauca Mixtec [xta]"", ""src"": ""hh"", ""prepages"": ""xiv"", ""besttxt"": ""ptxt2\\north_america\\stark_mixteco2003_s.txt"", ""fn"": ""north_america\\stark_mixteco2003_s.pdf, north_america\\gonzalezguzman-johnson-stark_xochapa2003.pdf"", ""country"": ""Mexico [MX]""}",,Alcozauca Mixtec [xta],North America,,1,82,grammar_sketch,"Stark, Sharon and Johnson, Audrey F. and González de Guzmán, Benita 2003",,,,,,,xiv+150,164,162646,Instituto Lingüístico de Verano,,,hh#sd:Starketal:Mixteco,,Dictionaries [DIC],,"Diccionario básico del Mixteco de Xochapa, Guerrero",,http://www.sil.org/mexico/mixteca/xochapa/P004-DiccXochapa-QMX.htm,,2003,2003
"Coyoacán, Mexico","Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon",book,,diccionario,,,"Diccionario básico del Mixteco de Xochapa, Guerrero",,,,,,,,,58574,Spanish [spa],,,"{""hhtype"": ""dictionary (computerized assignment from \""diccionario\"")"", ""glottolog_ref_id"": ""58574"", ""lgcode"": ""Alcozauca Mixtec [xta]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""40782"", ""country"": ""Mexico [MX]""}",,Alcozauca Mixtec [xta],North America,,2,174,phonology_or_text,"Johnson, Audrey F. and González de Guzmán, Benita and Stark, Sharon 1999",,,,,,,xiv+160,174,162645,Instituto Lingüístico de Verano,,,sil16#40782,,Dictionaries and vocabularies [DAV],,"Diccionario básico del Mixteco de Xochapa, Guerrero",,http://www.sil.org/mexico/mixteca/xochapa/P004-DiccXochapa-QMX.htm,,1999,1999
Mexico,"Johnson, Audrey F. and Lorenzo C., Filiberto and Stark, Sharon",book,,,,,Diccionario mixteco de San Juan Colorado,,,,,,,,,20774,Spanish [spa],,,"{""cfn"": ""north_america\\johnson_mixteco-san-juan-colorado1986.pdf"", ""sil_id"": ""20112"", ""hhtype"": ""grammar_sketch;dictionary"", ""besttxt"": ""ptxt\\north_america\\johnson_mixteco-san-juan-colorado1986.txt"", ""glottolog_ref_id"": ""20774"", ""lgcode"": ""San Juan Colorado Mixtec [mjc]"", ""src"": ""hh, sil16"", ""macro_area"": ""North America"", ""fn"": ""north_america\\johnson_mixteco-san-juan-colorado1986.pdf, north_america\\johnson_mixteco-san-juan-colorado1986_o.pdf"", ""country"": ""Mexico [MX]""}",,San Juan Colorado Mixtec [mjc],North America,,1,111,grammar_sketch,"Johnson, Audrey F. and Lorenzo C., Filiberto and Stark, Sharon 1986",,,,,,,xii+209,221,162609,Instituto Lingüístico de Verano,,"Serie de vocabularios y diccionarios indígenas ""Mariano Silva y Aceves""","hh#sd:Johnson:Mixteco-San-Juan-Colorado, sil16#20112",,Dictionaries and vocabularies [DAV],,Diccionario mixteco de San Juan Colorado,,,29,1986,1986
,"Guadalupe Joaquina, Amadeo",mastersthesis,,,,,"Análisis morfosintáctico de la estructura oracional del Mixteco de Yoloxóchitl, Guerrero",,,,,,,,,319519,Spanish [spa],,,"{""cfn"": ""north_america\\guadalupe_yoloxochitl2007.pdf"", ""hhtype"": ""grammar_sketch"", ""delivered"": ""north_america\\guadalupe_yoloxochitl2007.pdf"", ""glottolog_ref_id"": ""319519"", ""lgcode"": ""Yoloxochitl Mixtec [xty]"", ""src"": ""hh"", ""macro_area"": ""North America"", ""fn"": ""north_america\\guadalupe_yoloxochitl2007.pdf"", ""besttxt"": ""ptxt2\\north_america\\guadalupe_yoloxochitl2007.txt""}",,Yoloxochitl Mixtec [xty],North America,,1,184,grammar_sketch,"Guadalupe Joaquina, Amadeo 2007",,,,,,,vi+178,184,162159,,Ciudad de México: Centro de Investigaciones y Estudios Superiores en Antropología Social,,hh#s:Guadalupe:Yoloxochitl,,,,"Análisis morfosintáctico de la estructura oracional del Mixteco de Yoloxóchitl, Guerrero",,,,2007,2007
"Berlin, New York","Pike, Eunice V. and Ibach, Thomas",incollection,"Linguistic and literary studies in honor of Archibald A. Hill, vol. 2: Descriptive linguistics",,,,The phonology of the Mixtepec dialect of Mixtec,,Mohammed Jazayery and Edgar C. Polomé and Werner Winter,,,,,"En Mohammad Ali Jazayery, Edgar C. Polomé y Werner Winter, edd., Linguistic and literary studies in honor of Archibald A. Hill, vol. 2, Descriptive linguistics, Mouton, The Hague, pp. 271-285",,141701,English [eng],,,"{""cfn"": ""north_america\\pike-ibach_mixtepec-mixtec1978.pdf"", ""besttxt"": ""ptxt2\\north_america\\pike-ibach_mixtepec-mixtec1978.txt"", ""glottolog_ref_id"": ""141701"", ""lgcode"": ""Mixtepec Mixtec [mix]"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""sil_id"": ""16334"", ""doi"": ""10.1515/9783110800432.271"", ""delivered"": ""north_america\\pike-ibach_mixtepec-mixtec1978.pdf"", ""hhtype"": ""phonology"", ""src"": ""degruyter, hh, otomanguean, sil16"", ""fn"": ""north_america\\pike-ibach_mixtepec-mixtec1978.pdf"", ""country"": ""Mexico [MX]""}",,Mixtepec Mixtec [mix],North America,,4,15,phonology_or_text,"Pike, Eunice V. and Ibach, Thomas 1978",,,,,,,271-285,15,156036,The Hague: Mouton,,,"degruyter#/books/9783110800432/9783110800432.271/9783110800432.271.xml, hh#phon:IbachPike:Mixtepec-Mixtec, otomanguean#Mixtec264, sil16#16334",,Phonological descriptions [PHD],,The phonology of the Mixtepec dialect of Mixtec,,http://www.degruyter.com/view/books/9783110800432/9783110800432.271/9783110800432.271.xml,,1978,1978
"Berlin, New York","Hunter, Georgia G. and Pike, Eunice V.",article,,phonology,,,The Phonology And Tone Sandhi Of Molinos Mixtec,,,,,,,,,87806,English [eng],,Linguistics,"{""glottolog_ref_id"": ""87806"", ""issn"": ""0024-3949"", ""iso_code"": ""mig"", ""olac_field"": ""general_linguistics"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""refdb_id"": ""http://wals.info/refdb/record/382"", ""lgcode"": ""San Miguel El Grande Mixtec [mig]"", ""sil_id"": ""11182"", ""doi"": ""10.1515/ling.1969.7.47.24"", ""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""wals_code"": ""mxm"", ""src"": ""degruyter, otomanguean, phoible, sil16, wals"", ""country"": ""Mexico [MX]""}",Mixtec (Molinos),San Miguel El Grande Mixtec [mig],North America,,4,17,phonology_or_text,"Hunter, Georgia G. and Pike, Eunice V. 1969",,,,47,,,24-40,17,154857,Walter de Gruyter,,,"degruyter#/j/ling.1969.7.issue-47/ling.1969.7.47.24/ling.1969.7.47.24.xml, otomanguean#Mixtec99, phoible#HunterPike1969, sil16#11182, wals#2819",,Phonological descriptions [PHD],,The Phonology And Tone Sandhi Of Molinos Mixtec,,http://www.degruyter.com/view/j/ling.1969.7.issue-47/ling.1969.7.47.24/ling.1969.7.47.24.xml,7,1969,1969
,"Hugghins, Susan J.",article,,text,,,Analysis of a Mixtec hortatory text: a nonlinear approach in Southeastern Nochixtlán Mixtec,,,,,,,,,50964,English [eng],,Journal of Translation and Textlinguistics,"{""hhtype"": ""text (computerized assignment from \""text\"")"", ""glottolog_ref_id"": ""50964"", ""lgcode"": ""Southeastern Nochixtl\u00e1n Mixtec [mxy]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""38878"", ""country"": ""Mexico [MX]""}",,Southeastern Nochixtlán Mixtec [mxy],North America,,5,14,phonology_or_text,"Hugghins, Susan J. 1998",,,,,,,26-39,14,153964,,,,sil16#38878,,Discourse analysis [DAN],,Analysis of a Mixtec hortatory text: a nonlinear approach in Southeastern Nochixtlán Mixtec,,,11,1998,1998
,"Hollenbach, Elena Erickson de",misc,,,,,Los tonos del mixteco de Magdalena Peñasco,,,,,,,,,300162,Spanish [spa],,,"{""sil_id"": ""47244"", ""glottolog_ref_id"": ""300162"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Elena Erickson de 2005 [2004-05]",,,,,,,,,150062,,,,sil16#47244,,Tone [TON],,Los tonos del mixteco de Magdalena Peñasco,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/G030-TonosMixtecoMP-xtm.htm,,2005 [2004-05],2004
,"Hollenbach, Barbara E.",article,,languages,,,Tone languages and language (un)awareness,,,,,,,,,90806,English [eng],,SIL Forum for Language Fieldwork,"{""hhtype"": ""comparative (computerized assignment from \""languages\"")"", ""glottolog_ref_id"": ""90806"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm], Copala Triqui [trc]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""49021"", ""country"": ""Mexico [MX]""}",,"Magdalena Peñasco Mixtec [xtm], Copala Triqui [trc]",North America,,8,2,wordlist_or_less,"Hollenbach, Barbara E. 2007",,,,,,,3,3,150061,,,,sil16#49021,,"Tone [TON], Orthography [ORT]",,Tone languages and language (un)awareness,,http://www.sil.org/silepubs/abstract.asp?id=49021,2007-004,2007,2007
,Elena Erickson de Hollenbach,book,,,,,Gramática del mixteco de Magdalena Peñasco (Sa'an Ñuu Savi),,,,,,,,,549466,Spanish [spa],,,"{""cfn"": ""north_america\\erickson_mixteco-magdalena-penasco2013.pdf"", ""hhtype"": ""grammar"", ""delivered"": ""north_america\\erickson_mixteco-magdalena-penasco2013.pdf"", ""glottolog_ref_id"": ""549466"", ""lgcode"": ""Mixteco de Magdalena Pe\u00f1asco = Mixtec-Magdalena Pe\u00f1asco [xtm]"", ""src"": ""hh"", ""macro_area"": ""North America"", ""fn"": ""north_america\\erickson_mixteco-magdalena-penasco2013.pdf"", ""besttxt"": ""ptxt2\\north_america\\erickson_mixteco-magdalena-penasco2013.txt""}",,Mixteco de Magdalena Peñasco = Mixtec-Magdalena Peñasco [xtm],North America,,-1,475,long_grammar,Elena Erickson de Hollenbach 2013,,,,,,,475,475,150057,Instituto Lingüístico de Verano,,,hh#g:Erickson:Mixteco-Magdalena-Penasco,,,,Gramática del mixteco de Magdalena Peñasco (Sa'an Ñuu Savi),,,,2013,2013
,"Hollenbach, Barbara E.",book,,,,,Paradigmas de los pronombres enclíticos del mixteco de Magdalena Peñasco,,,,,,,,,64710,Spanish [spa],,,"{""sil_id"": ""47431"", ""glottolog_ref_id"": ""64710"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Barbara E. 2006",,,,,,,,,150051,Instituto Lingüístico de Verano,,,sil16#47431,,Pronouns [PRS],,Paradigmas de los pronombres enclíticos del mixteco de Magdalena Peñasco,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/G037-ParadigmasPronombresMP-xtm.htm,,2006,2006
http,"Hollenbach, Barbara E.",book,,,,,The Lord's prayer from the 1567 Hernández catechism,,,,,,,,,19875,English [eng],,,"{""sil_id"": ""48195"", ""glottolog_ref_id"": ""19875"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Barbara E. 2001",,,,,,,,,150047,//www,,,sil16#48195,,Translation [TRN],,The Lord's prayer from the 1567 Hernández catechism,,http://www.sil.org/~hollenbachb/Bibliography.htm,,2001,2001
Dallas,"Hollenbach, Barbara E.",incollection,Language and life: essays in memory of Kenneth L. Pike,,,,The historical source of an irregular Mixtec tone-sandhi pattern,,"Mary Ruth Wise, Thomas N. Headland and Ruth M. Brend",,,,,,,79664,English [eng],,,"{""sil_id"": ""43870"", ""glottolog_ref_id"": ""79664"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm], San Miguel El Grande Mixtec [mig]"", ""src"": ""sil16, zurich"", ""zurichcode"": ""Mixteco [1]"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,"Magdalena Peñasco Mixtec [xtm], San Miguel El Grande Mixtec [mig]",North America,,16,9,wordlist_or_less,"Hollenbach, Barbara E. 2003",,"Wise, M.R. AND al., et",,,,,533-550,18,150042,SIL International and University of Texas at Arlington,,SIL International and The University of Texas at Arlington Publications in Linguistics,"sil16#43870, zurich#Hollenbach2003",,"Comparative and historical studies [CHL], Tone [TON]",,The historical source of an irregular Mixtec tone-sandhi pattern,,,139,2003,2003
,"Hollenbach, Barbara E.",article,,historia,,,Los pronombres honoríficos del mixteco: reflejo de la historia social del pueblo mixteco,,,,,,,,,86746,Spanish [spa],,Cuadernos del Sur,"{""hhtype"": ""ethnographic (computerized assignment from \""historia\"")"", ""glottolog_ref_id"": ""86746"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""45844"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,13,8,wordlist_or_less,"Hollenbach, Barbara E. 2003",,,,19,,,51-58,8,150036,,,,sil16#45844,,Honorifics [HON],,Los pronombres honoríficos del mixteco: reflejo de la historia social del pueblo mixteco,,,9,2003,2003
,Barbara E. Hollenbach,misc,,,,,Focus in Mixtecan languages,,,,,,,"Paper presented at the 47th International Congress of Americanists, 7-11 July 1991, New Orleans",,312440,,,,"{""hhtype"": ""minimal"", ""glottolog_ref_id"": ""312440"", ""lgcode"": ""Ayutla Mixtec = Ayutla Mixtec [miy], Copala Trique = Copala Triqui [trc], Yosond\u00faa = Yosond\u00faa Mixtec [mpm], San Miguel el Grande = San Miguel El Grande Mixtec [mig], Diuxi = Diuxi-Tilantongo Mixtec [xtd], Ocotepec = Ocotepec Mixtec [mie], Atatlahuca = Atatl\u00e1huca Mixtec [mib], Coatzospan = Coatzospan Mixtec [miz], Jamiltepec = Jamiltepec Mixtec [mxt], Chicahuaxtla Trique = Chicahuaxtla Triqui [trs], Cuicatec Concepci\u00f3n P\u00e1palo = Tepeuxila Cuicatec [cux], Pe\u00f1oles = Pe\u00f1oles Mixtec [mil], Alacatzala = Alacatlatzala Mixtec [mim], Chalcatongo = Mixtec-San Miguel el Grande [mig], Molinos = Mixtec-San Miguel el Grande [mig], Silacayoapan = Silacayoapan Mixtec [mks], San Rafael = Mixtec-Metlat\u00f3noc [mxv], Jicaltepec"", ""src"": ""hh, otomanguean"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtecan"", ""fn"": ""north_america\\hollenbach_focus-mixtecan1991.pdf""}",,"Ayutla Mixtec = Ayutla Mixtec [miy], Copala Trique = Copala Triqui [trc], Yosondúa = Yosondúa Mixtec [mpm], San Miguel el Grande = San Miguel El Grande Mixtec [mig], Diuxi = Diuxi-Tilantongo Mixtec [xtd], Ocotepec = Ocotepec Mixtec [mie], Atatlahuca = Atatláhuca Mixtec [mib], Coatzospan = Coatzospan Mixtec [miz], Jamiltepec = Jamiltepec Mixtec [mxt], Chicahuaxtla Trique = Chicahuaxtla Triqui [trs], Cuicatec Concepción Pápalo = Tepeuxila Cuicatec [cux], Peñoles = Peñoles Mixtec [mil], Alacatzala = Alacatlatzala Mixtec [mim], Chalcatongo = Mixtec-San Miguel el Grande [mig], Molinos = Mixtec-San Miguel el Grande [mig], Silacayoapan = Silacayoapan Mixtec [mks], San Rafael = Mixtec-Metlatónoc [mxv], Jicaltepec",North America,,9,1,wordlist_or_less,Barbara E. Hollenbach 1991,,,,,,,12,12,150033,,,,"hh#ld:Hollenbach:Focus-Mixtecan, otomanguean#Mixtecan13",,,,Focus in Mixtecan languages,,,,1991,1991
,"Hollenbach, Barbara E.",article,,,,,Difrasismos mixtecos: del siglo XVI al siglo XXI,,,,,,,,,148645,,,UniverSOS,"{""sil_id"": ""50056"", ""glottolog_ref_id"": ""148645"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,17,wordlist_or_less,"Hollenbach, Barbara E. 2007",,,,,,,157-173,17,150028,,,,sil16#50056,,Rhetoric [RHE],,Difrasismos mixtecos: del siglo XVI al siglo XXI,,,4,2007,2007
,"Hollenbach, Barbara E.",book,,,,,Paradigma del verbo 'correr' en el mixteco de Magdalena Peñasco,,,,,,,,,139743,,,,"{""sil_id"": ""47429"", ""glottolog_ref_id"": ""139743"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Barbara E. 2006",,,,,,,,,150023,Instituto Lingüístico de Verano,,,sil16#47429,,Verbs [VST],,Paradigma del verbo 'correr' en el mixteco de Magdalena Peñasco,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/G035-CorrerSCAmoltepec-xtm.htm,,2006,2006
,"Hollenbach, Barbara E.",book,,,,,Paradigma del verbo 'correr' en el mixteco de San Cristóbal Amoltepec,,,,,,,,,105136,,,,"{""sil_id"": ""47430"", ""glottolog_ref_id"": ""105136"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Barbara E. 2006",,,,,,,,,150022,Instituto Lingüístico de Verano,,,sil16#47430,,Verbs [VST],,Paradigma del verbo 'correr' en el mixteco de San Cristóbal Amoltepec,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/G035-CorrerSCAmoltepec-xtm.htm,,2006,2006
,"Hollenbach, Bruce and Barbara Hollenbach",misc,,,,,Los términos de parentesco en el Mixteco de Magdalena Peñasco,,,,,,,"Mexico, D.F.: Instituto Lingüístico de Verano. 12 p",,126311,Spanish [spa],,,"{""sil_id"": ""41530"", ""glottolog_ref_id"": ""126311"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Bruce and Barbara Hollenbach 2000",,,,,,,,,149991,"Mexico, D",,,"otomanguean#Mixtec95, sil16#41530",,Kinship terms [KTM],,Los términos de parentesco en el Mixteco de Magdalena Peñasco,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/A005-Parentesco-xtm.htm,,2000,2000
,"Hollenbach, Bruce and Barbara Hollenbach",misc,,,,,Los pronombres del Mixteco de Magdalena Peñasco,,,,,,,"Mexico, D.F.: Instituto Lingüístico de Verano. 16 p",,123643,Spanish [spa],,,"{""sil_id"": ""41527"", ""glottolog_ref_id"": ""123643"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Bruce and Barbara Hollenbach 2000d",,,,,,,,,149990,"Mexico, D",,,"otomanguean#Mixtec97, sil16#41527",,Language learning [LLG],,Los pronombres del Mixteco de Magdalena Peñasco,,,,2000d,2000
,"Hollenbach, Bruce and Barbara Hollenbach",misc,,,,,Los números del Mixteco antiguo: Mixteco de Magdalena Peñasco,,,,,,,"Mexico, D.F.: Instituto Lingüüíístico de Verano. 12 p",,10039,Spanish [spa],,,"{""sil_id"": ""41528"", ""glottolog_ref_id"": ""10039"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Magdalena Peñasco Mixtec [xtm],North America,,16,0,wordlist_or_less,"Hollenbach, Bruce and Barbara Hollenbach 2000",,,,,,,,,149989,"Mexico, D",,,"otomanguean#Mixtec98, sil16#41528",,Numeral systems [NSY],,Los números del Mixteco antiguo: Mixteco de Magdalena Peñasco,,http://www.sil.org/mexico/mixteca/magdalena-penyasco/G016-Numeros-xtm.htm,,2000,2000
,"Hollenbach F., Fernando and Hollenbach, Elena Erickson de",book,,,penasco,,Los números del mixteco antiguo: mixteco de Magdalena Peñasco,,,,,,,,,76328,Spanish [spa],,,"{""mpifn"": ""mixteco_hollenbach1999_s.html"", ""document_type"": ""P"", ""glottolog_ref_id"": ""76328"", ""lgcode"": ""Magdalena Pe\u00f1asco Mixtec [xtm] (computerized assignment from \""penasco\"")"", ""src"": ""mpieva"", ""mpi_eva_library_shelf"": ""please ask library staff"", ""macro_area"": ""North America""}",,"Magdalena Peñasco Mixtec [xtm] (computerized assignment from ""penasco"")",North America,,16,8,wordlist_or_less,"Hollenbach F., Fernando and Hollenbach, Elena Erickson de 1999",,,,,,,1-8,8,149988,,,,mpieva#Hollenbach1999Losnumer,,,,Los números del mixteco antiguo: mixteco de Magdalena Peñasco,,,,1999,1999
