Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
167,nandótó yó,vi,"revivimos, resucitamos",Tsihi ra Jesucristo ta nandoto ra. Jesucristo murió y resucitó.,cuá nándoto yo,nándoto yo Véase ndotó yo
168,nándútyí tsí,vi,se despelleja (cambiar de piel),Quiti cuví tyityi nandutyí ti quivi tsaá savi. Cuando va a llegar el tiempo de lluvias la iguana se despelleja.,cuá nándutyi tsi,nándutyi tsi)
169,nándúví yo,vi,nos convertimos,Nucoohyo ñi tsahan ra Cooriu ta cuiti nanduvi ra toho. Nada más fue Gregorio a México y se convirtió en mestizo. (indica que ahora viste de pantalones y camisa en lugar de calzones),cuá nanduvi yo,nanduvi yo
170,náñí yó,vi,nos llamamos,"Nañí yu Daniel, yacan cuví maa sivi yu tsa nda cacu yu. Me llamo Daniel; ése es mi nombre desde que nací.",cua cunañi yo,tsinañi yo
171,náñi tsi,vt,"golpea, pega, atropella (sin intento)","Nañi yuu tsaha yu ta tahvi tyiñu yu. Me golpeé en el pie con una piedra, y se me rompió la uña.",cuá nañi tsi,náañi tsi Véase cañí yo
172,nañíhi y0,vt,encontramos (algo que buscamos),"Nanducu xaan yu nu iyó vehe ra ican ta nañihi yu. Anduve mucho buscando dónde vive él, y por fin encontré su casa.",cua nañihi yo,nañihi yo Véase ñihí yo
173,náquicú y0,vt,NA,remendamos ¿Tsa naquicu un jahma yu tsa ndata? ¿Ya remendaste mi ropa que se rompió?,cua náquicu yo,naquicu yo Sinón natyaá yo
174,náquihin “yó,vt,"recogemos, traemos",Cua naquihin jahma canyii nu ñuhu ican. Ve a recoger esa ropa que está ahí en el suelo.,cuá naquihin yo,náquihin yo Véase quihín yo
175,náquihín váha yo,vt,guardamos,Cahan tsihin ña ican na naquihin vaha ña uhun taahan quesu tsi yo. Habla con ella para que guarde cinco quesos para nosotros.,cuá náquihin vahá yó,náquihin vaha yo
176,násóco y0,vt,bendecimos,"Tsa ndihi tsicoó misa nasocó ra jutu tsi nyivi. Después de la misa, el cura bendice a la gente.",cuá násoco yo,násoco yo
177,"natíhví yó, tíhví yó",vt,barremos,"Tatu natihvi yo ndihi quivi sii xaan caa nyehe nyivi. Si barremos todos los días, la gente ve que está bonito. 2. natihví tsi vi se barre Tsa natihví tsitsi vehe. Ya se está barriendo dentro de la casa.",cuá natihví yo,natihví yo
177,"natíhví yó, tíhví yó vt barremos Tatu natihvi yo ndihi quivi sii xaan caa nyehe nyivi. Si barremos todos los días, la gente",ve,que está bonito. 2. natihví tsi vi se barre,Tsa natihví tsitsi vehe. Ya se está barriendo dentro de la casa.,cuá natihví yo,natihví yo
177,"natíhví yó, tíhví yó vt barremos Tatu natihvi yo ndihi quivi sii xaan caa nyehe nyivi. Si barremos todos los días, la gente ve que está bonito. 2. natihví tsi",vi,se barre,Tsa natihví tsitsi vehe. Ya se está barriendo dentro de la casa.,cuá natihví yo,natihví yo
178,nátúhún y0,vi,platicamos,Natuhun tahan xaan ndi cuñi tsihin ñasiihi yu nacaa coo ndi tsihin sehe ndi. Anoche mi esposa y yo platicamos mucho de cómo viviremos con nuestros hijos.,cuá natuhun yo,natuhun yo
179,natúhún vahá yo,vi,NA,"platicamos mixteco, placticamos el dialecto",cuá natuhun vahá yo,natuhun vahá yo
180,nátúhvá yó,vi,nos acercamos,Natuhva ihya tyin tyasoho vaha ca yo. Acércate aquí para que escuchemos mejor.,cuá natuhva yo,natuhva yo
181,nátútsií yó,vt,"retacamos,  apisonamos",Natutsí ra ñuhu caahndi can tsitsi tiyoo can tyin cua cuvi can vextye. El está retacando pólvora en ese carrizo porque va a hacer un cohete.,cua natútsi yó,"natútsi yó natuví yo (nátúví yó) vt enrollamos (cosas anchas como petate y cosas resistentes como alambre) Natuví ña María yuvi tsa quixi sehe ña nuu. María está enrollando el petate en el que se durmió su hijo. [cuá nátúvi yó, natúvi yó] Sinón tyituví yo"
181,"nátútsií yó vt retacamos,  apisonamos Natutsí ra ñuhu caahndi can tsitsi tiyoo can tyin cua cuvi can vextye. El está retacando pólvora en ese carrizo porque va a hacer un cohete. [cua natútsi yó, natútsi yó] natuví yo (nátúví yó)",vt,enrollamos (cosas anchas como petate y cosas resistentes como alambre),Natuví ña María yuvi tsa quixi sehe ña nuu. María está enrollando el petate en el que se durmió su hijo.,cuá nátúvi yó,natúvi yó Sinón tyituví yo
182,nátúvi y0,vi,aparecemos,"Natuví maa vico ityi siqui andivi, tsaha nducuahá tsi. Las nubes aparecen y se multiplican en el cielo.",cuá natuvi yo,natuvi yo Sinón quituví yo
183,nátyaá yó,vt,"remendamos, recosemos",Natyaá ña jahma yii ña tyin ndata tsi. Está remendando la ropa de su esposo porque está rota.,cuá natyaa yo,natyaa yo Sinón naquicú yo
184,návicó yó,vi,"damos vueltas, rodeamos (por el camino)","Cañi xaan tsitsi cuhu nyaá intuhun yucu cahnu xaan, cuaha xaan navicó yo ta tsaa yO. Allá muy lejos, en el campo, hay un cerro muy grande, y hay que dar muchas vueltas para llegar.",cuá návico yó,návico yó
185,nft íñi yo,vi,"tenemos fe, tenemos confianza, tenemos un solo pensamiento, tenemos paciencia","Andunii yo iñi yo, tacan ta quita vaha tyiñu yo ta ña tahan yo tundoho. Hay que tener paciencia para que salga bien nuestro trabajo y no nos suceda nada malo.",cuá ni+ iñi yo,ni iñi yo
186,niñt s la sangre tsiyó yo niñi,vi,NA,NA,NA,tenemos disentería
187,númi nyáa yo,vt,abrazamos,"Cuñí xaan ra tsi ñasiihi ra, yacan numi nyaá ra tsi ña. Quiere mucho a su esposa, por eso la abraza.",cuá cunumi nyaá yó,tsinúmi nyaá yo
188,núñá yó 1.,vt,abrimos,"Na Juanita nuña ña yuvehe. Juanita abrió la puerta. 2. nuñá tsi vi se abre, está abierta Jatahan yo mesa can, tacan ta nuña nuu can cuvi. Juntemos esas mesas y así estará más amplio. (lit: estará abierta esa cara)",cuá nuña yo,nuña yo
188,núñá yó 1. vt abrimos Na Juanita nuña ña yuvehe. Juanita abrió la puerta. 2. nuñá tsi,vi,"se abre, está abierta","Jatahan yo mesa can, tacan ta nuña nuu can cuvi. Juntemos esas mesas y así estará más amplio. (lit: estará abierta esa cara)",cuá nuña yo,nuña yo
189,núú adv un rato tsicá nuu yo,vi,paseamos tsicán nuu yo ví pedimos prestado tsahá nuu yo vt prestamos nducú nuu yo ví pedimos prestado nuú yo (núú yó) vt bajamos,"Na nuu yo nu tumangu ihya tyin tsa ñihi xaan yo mangu. Que bajemos de este árbol de mango, porque ya juntamos muchos.",cuá nuu yo,nuu yo
189,núú adv un rato tsicá nuu yo vi paseamos tsicán nuu yo ví pedimos prestado tsahá nuu yo,vt,prestamos nducú nuu yo ví pedimos prestado nuú yo (núú yó) vt bajamos,"Na nuu yo nu tumangu ihya tyin tsa ñihi xaan yo mangu. Que bajemos de este árbol de mango, porque ya juntamos muchos.",cuá nuu yo,nuu yo
189,núú adv un rato tsicá nuu yo vi paseamos tsicán nuu yo ví pedimos prestado tsahá nuu yo vt prestamos nducú nuu yo ví pedimos prestado nuú yo (núú yó),vt,bajamos,"Na nuu yo nu tumangu ihya tyin tsa ñihi xaan yo mangu. Que bajemos de este árbol de mango, porque ya juntamos muchos.",cuá nuu yo,nuu yo
190,cahán nuu yo,vi,NA,NA,tenemos vergúenza nu- prefijo donde,la cara
191,nuuhñí yo,ve,NA,NA,estamos amarrados Japehla cuayu can tyin ñihi xaan nuuhñi ti. Afloja ese caballo,"porque está amarrado muy fuerte. Véase tsinuhñí yo, tsaahñí yo"
192,ndáá yó 1.,vt,subimos,"Iyó cuaha mangu catsi yo vityin, nda cundaa yo nu yutun ta jocon yo cuñí tsi. Ahora hay muchos mangos;  solamente se necesita subir al árbol y cortarlos. 2. ndaá tsi, nandaá tsi vi se hincha Ndaa xaan nuu ra Lipe tyaa tyoco. Donde le picó la avispa a Felipe en la cara se le hinchó mucho.",cuá ndaa yo,ndaa yo
192,"ndáá yó 1. vt subimos Iyó cuaha mangu catsi yo vityin, nda cundaa yo nu yutun ta jocon yo cuñí tsi. Ahora hay muchos mangos;  solamente se necesita subir al árbol y cortarlos. 2. ndaá tsi, nandaá tsi",vi,se hincha,Ndaa xaan nuu ra Lipe tyaa tyoco. Donde le picó la avispa a Felipe en la cara se le hinchó mucho.,cuá ndaa yo,ndaa yo
193,ndaahvá yo,vt,apagamos,Cua ndahva yo ñuhu ihya tyin ihñi xaan jahá tsi. Vamos a apagar esta lumbre porque está haciendo mucho calor.,cuá ndahva yó,ndahva yo
194,caahán ndaahvi yo,vt,NA,NA,NA,rogamos cundaahví iñi yo vt compadecemos nyehé ndaahvi yo vt compadecemos ndahvi interj ¡que lástima!
194,caahán ndaahvi yo vt rogamos cundaahví iñi yo,vt,NA,NA,NA,compadecemos nyehé ndaahvi yo vt compadecemos ndahvi interj ¡que lástima!
194,caahán ndaahvi yo vt rogamos cundaahví iñi yo vt compadecemos nyehé ndaahvi yo,vt,NA,NA,NA,compadecemos ndahvi interj ¡que lástima!
195,ndáca ñáhá yó,vt,"dominamos, reinamos, gobernamos, mandamos","Maa ña ndacá ñaha tsi ra luhlu, tavá ña tyiñu tsi ra. Ella manda en el niño; lo manda a mandados.",cua cúndaca ñaha yo,tsindaca ñahá yo
196,ndáhá yó,vt,"llevamos en la mano, tenemos en la mano","Ndahá yo tutsii tsihin ndaha yo, tyin cahñi yo isu. Tenemos los rifles en las manos porque vamos a matar venado.",cuá cúndaha yo,tsindaha yo
197,coo ndaha s el ciempiés jandahá yo,vt,NA,NA,señalamos nacuhví ndaha yo vt frotamos,"amasamos, masajeamos nundaha yo s nuestro dedo"
197,coo ndaha s el ciempiés jandahá yo vt señalamos nacuhví ndaha yo,vt,NA,NA,frotamos,"amasamos, masajeamos nundaha yo s nuestro dedo"
198,ndast tsi,ve,NA,NA,NA,1. está cerrado Tandihi maa vehe nyivi ñuu ihya ndasi vityin tsa ora tyin cuahán ñi cuhu. Todas las casas de la gente de este pueblo están cerradas a mediodía porque van al monte. 2. está tapado Ndasi nuu can tyin coto quihvi nyahyu. Está tapado porque no vaya a ser que le caiga tierra. Véase tsindasfí tsi
199,ndátá yó,vt,"rajamos, rompemos, partimos","Ndata yo cartón ihya ta nacasi yo nu nyaá llave tyin cutyi yo. Vamos a rajar este cartón para tapar el lugar donde está la llave del agua, para bañarnos.",cuá ndata yó,ndáta yo
200,ndátá tsi,vi,"se raja, se rompe, se parte","Ndatá ñuhu tsitsi ticoho nu yihi ndutya ican, tyin tsa netyi can. El fondo de tierra de ese charco donde había agua, se parte porque ya se secó.",cua ndatá tsi,ndáta tsi
201,ndatú yo,vt,esperamos,"Cuatu nuu tsi yu, cuahán jihna yu ityi ya tañi ñi. Espérame un poco; primero voy allí un ratito.",cuá cuátú yó,ndatú yo
202,"ndatsán adj listo, vivo, fuerte (en su cuerpo, de salud) Ve nyihi tsa ndi lee tan quitsaha tsatsí, ndatsan xaan cuñí naha",ve,NA,NA,NA,cuví tsa quita ¡in cuiya naha ve. Las niños que empiezan a comer de más pequeños son muy fuertes cuando cumplen un año.
203,ndátsí tsí,vi,se despinta,"Na vaha tsehe can, ndatsi nu. Esa enagua no era buena, se despintó.",cuá ndatsi yo,ndatsi yo Sinón ndoó tsi
204,ndátsi yó,vt,"desatamos, soltamos","Ndatsi yo cuayu ican, tyin ican nduve ca tsa catsi ti. Desatamos el caballo porque allí ya no tenía que comer.",NA,cuá ndátsi yo ndatsi yo
205,ndátsi tsi,vi,se desata,"Yoho can ndatsi maa tsi tyin ña nuuhñi vaha tsi. El mecate se desató solito, porque no estaba amarrado bien.",cuá ndátsi tsi,ndátsi tsi
206,ndává yó,vi,1. brincamos,"Nyaá taxin yu ta tsitatu xaan yu, tacan ta quitsaha ndavá yu tsahan nayaha tsa tsitatu xaan yu. Estaba sentado y me cansé mucho; entonces empecé a brincar y se me pasó el cansancio. 2. volamos Quiti cuví saa cuñí xaan ti ndavá ti. A los pájaros les gusta volar.",cua ndava yo,ndava yo
207,"ndavi s la línea, la raya (en las servilletas) Cuaha xaan ndavi cayucú nuu jahma ndaha, sii xaan caá jahma ndaha can tsihin can. La servilleta tiene muchas rayas; se",ve,NA,NA,NA,bonita con esas rayas.
208,ndicá yo,vt,"abrimos, extendemos","Quihin libro ican ta ndica ta cahvi un juhva. Agarra ese libro, ábrelo y lee un poco.",cuá ndicá yo,ndicá yo
209,ndi nyaá v,aux,NA,NA,falta Tyihi yahvi maa yu tsi yu tsihin maquina can tyin ña vaha can ta ndi nyaá cua tyahvi yu cuenda cam. Nada más me endeudé con esa máquina porque no sirve,y todavía me falta pagarla.
210,"ndítá tsí, nyítá tsí",ve,NA,NA,está colgado Vaha xaan ndita cortina yuhu ventana can,"tyin sii xaan caá jahma can. Está bien que esté colgada esa cortina en la ventana, porque la tela es bonita. Véase tsicuitá tsi"
211,ndítá íñi yó,vi,"esperamos, tenemos esperanza",Nditá iñi yo tyin cua cuhun yo vico tindaha. Tenemos esperanza de ir a la boda.,cuá cuita iñi yó,ndita iñi yo
212,nditsí yÓ,vt,nos vestimos,Tsa nditsí ñi yo jahma jata yo Nunduva tsa tsahan yo. Ya nos vestimos la ropa que compramos cuando fuimos a Oaxaca.,cuá cunditsi yo,tsinditsi yo
213,cunditsín,vi,NA,NA,NA,amanece
214,"ndíhi tsi, tsindíhi tsi 1. ví se acaba, se termina Tsa ndihi ¡in cuaderno tsa jata jutu yu tsi yu. Ya se terminó el cuaderno que me compró mi papá. 2. ndihí v",aux,termina,Cuyava ndihi cahvi yu primaria. El año pasado terminé la primaria.,cua cundihi tsi,tsindihi tsi)
215,cundihí iñi yo,vi,NA,NA,nos aburrimos,nos da flojera
216,ndíhi ii y0,vi,"nos da lata, nos pone de mal humor, nos cansa",Cuaha xaan ra nyihi nyecú naha ra ihya; cuvaa xaan; ndihfí xaan iñi yo. Aquí hay muchos chamaquitos y son muy ruidosos; nos dan mucha lata.,cuá cundíhi iñi yó,ndíhi+ iñi yo
217,ndíhí tátyi yO,vi,respiramos,"Tun ndi ndihi tsinu yo, ñihi xaan ndihí tatyi yo. Si acabamos de correr, respiramos muy fuerte.",cuá ndihi tatyi y0,ndihi tatyi yo
218,ndíhi tuhún yo,vi,"morimos, nos acabamos","Tyehen tsicá yu ihya ñuu ñayivi ta tsiihí yu ta ndihi tuhun yu, vaha ñi maa tsa cuvi yu tatu cuhva catyí Nyoo. Si ando en el mundo y muero, así acabo; pero está bien, si Dios así lo quiere.",cuá ndihi túhún yó,ndihi túhún yo
219,ndíyi yo,vi,nos chamuscamos,"Jatsiyo nailu ticaá nuu ñuhu can tyin ndihi can ndiyfí. Quita ese nailon que está colgado sobre la lumbre, porque se está chamuscando.",cuá ndiy+ yo,ndiyi yo
220,ndócó tsí,vi,se seca (un lugar donde había agua),Yatyin ñi ihya nyaá intuhun soco tsa ndoco. Cerca de aquí está un pozo que ya se secó.,cuá ndoco tsi,ndoco tsi
221,ndóhó yó,vi,estamos castigados,"Tahan cuví yu ra luhlu ndoho xaan yu jaha sihi yu. Cuando yo era chico, me castigaba mucho mi mamá.",cuá ndohó yo,ndoho yo
222,ndóó tsí,vi,"se lava, se limpia","Tu ndoó jahma yo, vaha caá tsi, cuitsin tsi. Si nuestra ropa está lavada, se ve bien porque es blanca. (lit: si nuestra ropa se lava)",cua ndóo tsi,ndoo tsi
222,"ndóó tsí vi se lava, se limpia Tu ndoó jahma yo, vaha caá tsi, cuitsin tsi. Si nuestra ropa está lavada, se",ve,NA,bien porque es blanca. (lit: si nuestra ropa se lava),cua ndóo tsi,ndoo tsi
223,ndóó tsí,vi,se despinta,"Iyó intuhun morral tsi yu cahyi tsi, soco ña vaha pintura cahyi tsi, ndoó tsi. Tengo un morral pintado, pero se despinta porque la pintura no sirve.",cua ndoóo tsi,ndóo tsi Sinón ndatsí tsi
224,ndóo yo,vi,"quedamos, nos quedamos","Ityaan cuahán yu tsitsi cuhu ta cua ndoo un tsihin sihi yo. Mañana voy al monte, y tú te vas a quedar con nuestra mamá.",cuá ndoo yo,ndoo yo
225,ndóo yo tyiñú,vi,estamos de acuerdo,Ra Cuse vaha xaan ndoo ra tyiñu tsa cua cuvi ra comitee vehe sucuela. José quedó de acuerdo en ser del comité de la escuela.,cua ndóo yo tyíñú,ndoo yo tyíñú
226,"ndóso s el gigante (de muchos cuentos antiguos) Ra ndoso can cuví ra lin ra cahnu sucun, tacan iyó tsaha ra tsata yuu. Ese gigante era un hombre grande y alto; así se",ve,NA,NA,NA,su huella en la piedra.
227,ndótó yó,vi,nos despertamos,Ndoto yu ta nducuhun iñi yu tyaqui xaan nyehe yu ñumaahna. Me desperté y me acordé de un sueño muy bonito que tuve.,cua ndoto yo,ndoto yo
228,nandotó yo,vi,NA,NA,NA,resucitamos
229,ndóyó yó,vt,aguantamos (con fuerza física),"Cuñí tsi cujatyinyee yo tsi ra Juan tyin ña ndoyó ra tindaa can canaa ra. Es necesario que vayamos a ayudar a Juan, porque no aguanta levantar ese costal.",cua ndoyó yo,ndoyo yo
230,ndóyo tsi,vi,se deshace,Ndihi cuii nama ndoyo tsitsi ndutya. Todo el jabón se deshizo en el agua.,cua ndoyo tsi,ndoyo tsi
231,ndúcú yó 1.,vt,1. buscamos,"Cohon cua nducu yo mangu tsitsi cuhu. Vamos a buscar mangos al monte. 2. v aux probamos, tratamos, intentamos Nducu ra catsi ra; ña cuvi tyin tyaca yihi cuú ti. El trató de comer, pero no pudo porque el pescado estaba crudo.",cuá ndúcu yó,ndúcu yó
231,ndúcú yó 1. vt 1. buscamos Cohon cua nducu yo mangu tsitsi cuhu. Vamos a buscar mangos al monte. 2. v,aux,"probamos, tratamos, intentamos","Nducu ra catsi ra; ña cuvi tyin tyaca yihi cuú ti. El trató de comer, pero no pudo porque el pescado estaba crudo.",cuá ndúcu yó,ndúcu yó
232,nanducú yo,vt,NA,NA,NA,buscamos (algo que está perdido)
233,nducúhún iñi yO,vt,"recordamos, nos acordamos (algo que se nos olvidó)",Tsicá ityi yu cuahán yu ta nducuhun iñi yu ¡in ra amigo yu. Iba caminando y me acordé de un amigo mío.,cuá nducuhun iñi y0,nducuhun iñi y0 Véase ñuhú yo
234,nducuíñi naahá,vi,se pone nublado,Tsa nducuiñi naha tyin tsa tyasi vico nuu ñicanyii. Ya se ha puesto nublado porque las nubes taparon el sol.,cua nducuiñi naha,nducuíñi naha; no usa pronombres
235,ndunyéé yó,vi,nos engordamos,"Cuñí xaan yu ndunyee yu, soco ña cuví maa. Quiero mucho engordar, pero no puedo.",cuá ndúnyéee yo,ndúnyéé yo
236,ndutúmi tsi,vi,se deshilacha,"Ndihi cuii nu ndata camisa yu ndutumi tyin ñata naquicu yu can. La rotura de mi camisa se deshilachó toda, porque no la he remendado.",cuá ndutumi tsi,ndutumi tsi Véase tumi
237,ndútsán yó,vi,vomitamos,Quihin cuehe tsi yu icu ta ndutsan yu. Ayer me enfermé y vomité.,cuá ndútsán yo,ndútsan yo)
238,ndútyá tsí,vi,"se machuca, se pone aguado","Tsahan yu tsi cuhu tsiquihin yu tyitya tsityi vatsí nuhu tsihin yu, ta ndutyá xaan tsi. Fui al monte a traer plátano maduro para la casa, y se aguadó todo.",cuá ndutya,ndutya
239,nduvá yo,vi,nos caemos,"Cuaahan cuee ñi tyin coto nduva un. Vete despacio, no sea que te vayas a caer.",cuá nduvá yó,nduvá yo
240,nduváha yo,vi,1. nos sanamos,"Yuhu cuhvi gaan yu ta tsihi yu numeri ta nduvaha yu. Estuve muy enfermo, tomé la medicina y sané. 2. nos arreglamos Cuñí tsi nduvaha ityi tsicá yo, tyin quiñi xaan. El camino por donde andamos necesita arreglarse, porque está muy feo.",cuá ndúuvahá yo,ndúuvahá yo Véase vaha
241,ndúve tsi,ve,NA,NA,NA,no hay Socó xaan ña tyin nduve tsa catsi ña. Ella tiene hambre porque no hay nada de comer. Sinón ñahñi
242,nduuhvá tsi,vi,se hierve,Quisi can vaha xaan tsi nduhva tutya tan cuví tucu nduhva cavee. Esa olla sirve para hervir atole y también para el café.,cuá nduhvá tsi,nduhvá tsi Sinón tyisó tsi
243,nduvíta yo,vi,nos levantamos,Tsa cuñí tsi nduvita yo tyin tsa tuvi xaan. Ya es necesario que nos levantemos porque ya amaneció.,cuá nduvita yo,nduvita yo
244,nduxáán y0,vi,"nos enojamos, nos ponemos enojados",Nduxaán xaan ña tyin nduve nducu. Ella está muy enojada porque no hay leña.,cuá nduxaán yó,"nduxáán yo Véase xaan, ndu-"
245,nyaá v,aux,está planeado,"Natihvi tsitsi vehe tyin nyaa cua quitsi nuhu ra Ndoñi sehe un. Barre la casa porque está planeado que regrese tu hijo, Antonio.",cua nyaa,nyaa
246,nyaá yó,vi,"1. nos sentamos, estamos","Nyaá ra tsaha yutun. El está sentado al pie del árbol. 2. nos vestimos (sombrero, zapatos, huaraches) Nyaá yu toñi yu jiñi yu quivi cuahán yu cuhu tyin ihñi xaan jahá ñicanyii. Cuando voy al monte, me visto con sombrero porque con el sol hace mucho calor. 3. nmyaá tsi cuesta ¿Nacaa nyaá tsa iin metru manta? ¿Cuánto cuesta un metro de manta?",cuá cúnyáá yo,tsinyaa yo
247,nyaa ndi nyaa v,aux,NA,NA,NA,falta
248,nyáá náa yo,vi,"1. nos arrimamos, quedamos cerca",Ra luhlu can tsahan ra tsihin jutu ra ta nyaa naa ra tsi ra. Ese niño se fue con su papá y se quedó cerca de él. 2. recargamos Tsa tsitatú ndi tsinyaá naa ndi tsaha vehe tsihin tyayu. Cuando nos sentimos cansados nos recargamos en la pared con todo y silla.,cua cúnyáa náá yo,tsinyáa náá yo
249,nyáá ndáha y0,vt,correteamos,Caahán iyo xaan ra tsa tsinyaa ndaha nu ñasuhu nahnu. El que fue correteado por los ladrones habla con asombro.,cuá cunyaa ndaha yo,tsinyáá ndáha yo
250,"nyáa nyítyi yo, nyáa yo",vi,estamos de pie,Ra maestro maa maa ñi nyaá nyityi ra ta jacuahá ra tsi ra nyihi. Los maestros siempre están de pie cuando enseñan a los niños.,cuá cunyaá nyityi yó,tsinyaá nyityi yo
251,nyaá xeehé yo,vi,NA,NA,estamos escondidos Naaha xaan tsinyaa xeehe yu ndatu yu isu,"soco nduve maa ti yaha. Estuve escondido mucho tiempo esperando al venado, pero no pasó."
252,"nyécú yó, nyácú yó",vi,NA,ya estamos aquí (siempre en plural) —¿A tsa nyecú ndo? —Tsa nyecú ndi. —¿Ya están aquí ustedes? —Aquí estamos.,cuá cunyécú yo,tsinyécú yo
253,"cunyeé yo, cunyeé iñi yo",vt,"aguantamos jatyinyeé yo vt ayudamos ndunyeé yo vi nos engordamos tunyee iñi s la fuerza, la ayuda, el poder; la vitamina nyeé yo (nyée yo) vi 1. nos hundimos",Nyeé canuva can tsihin ra can. Esa canoa se está hundiendo con él. 2. nyeé tsi se entierra Na nyeé maa nduyu ihya tsata yuu ihya. Esta estaca no se entierra en esta piedra.,cuá nyée yo,nyéé yo Sinón tsitá yo
253,"cunyeé yo, cunyeé iñi yo vt aguantamos jatyinyeé yo",vt,"ayudamos ndunyeé yo vi nos engordamos tunyee iñi s la fuerza, la ayuda, el poder; la vitamina nyeé yo (nyée yo) vi 1. nos hundimos",Nyeé canuva can tsihin ra can. Esa canoa se está hundiendo con él. 2. nyeé tsi se entierra Na nyeé maa nduyu ihya tsata yuu ihya. Esta estaca no se entierra en esta piedra.,cuá nyée yo,nyéé yo Sinón tsitá yo
253,"cunyeé yo, cunyeé iñi yo vt aguantamos jatyinyeé yo vt ayudamos ndunyeé yo",vi,"nos engordamos tunyee iñi s la fuerza, la ayuda, el poder; la vitamina nyeé yo (nyée yo) vi 1. nos hundimos",Nyeé canuva can tsihin ra can. Esa canoa se está hundiendo con él. 2. nyeé tsi se entierra Na nyeé maa nduyu ihya tsata yuu ihya. Esta estaca no se entierra en esta piedra.,cuá nyée yo,nyéé yo Sinón tsitá yo
253,nyée yo,vi,1. nos hundimos,Nyeé canuva can tsihin ra can. Esa canoa se está hundiendo con él. 2. nyeé tsi se entierra Na nyeé maa nduyu ihya tsata yuu ihya. Esta estaca no se entierra en esta piedra.,cuá nyée yo,nyéé yo Sinón tsitá yo
254,nyéhé yó,vt,"1. vemos, miramos",Nyehé yo nu libru. Miramos en el libro. 2. probamos Cuaxin cutsara nu ndutya vixi ta nyehe un tu vixi tsi. Mete la cuchara en el agua y prueba si está dulce.,cuá nyéhe yo,nyéhe yo
255,nyéhé ndaahví yo,vt,"compadecemos, nos apiadamos de, tenemos compasión",Na nyehe ndaahvi yo tsi nyivi ndaahvi. Que nos compadezcamos de los pobres.,cua nyéhe ndaahví yo,nyéhe ndaahví yo Sinón cundaahví iñi yo
256,nyéhé váha yo,vi,nos fijamos,Nyehe vaha yu catyihi carru intuhun nyivi tsa tsihi tsi. Yo me fijé bien cuando un carro atropelló a una persona y se murió.,cuá nyéhe váha yo,nyéhe váha yo
257,nyicó yó,vt,molemos,Nyicó ña yutsan ta tyaá ña ixta. Ella muele la masa y echa las tortillas.,cuá nyico yo,nyico yo
258,nyíco tsi,vi,se enfría,Coho cavee un; tsa ndihi cuii can nyico. Tome su café; ya se enfrió.,cuá nyico tsi,nyico tsi
259,nyicún yo,vt,seguimos,"Na tsito yu yoo tsii indiqui jana tsi ti, yacan vatsí yu nyicún yu tsi ti cuanda tsaa yu nda vehe ti. No supe de quién era la vaca, por eso la seguí a su casa.",cuá cunyicún yó,nyicún yo
260,cunyihí tsi,vi,NA,NA,NA,se muele
261,nyíí yó,vi,estamos (en un lugar),Nduvi icu nyií ra jatyiñú ra tsitsi cuhu. Todo el día de ayer estuvo él trabajando en el campo.,cuá cunyii yo,tsinyii yo; habitual: tsínyíi yo
262,nyíí yo,vt,"preparamos el telar, hacemos el telar","Cuvi nyii yu isa cuvi tsi jahma ndaha ta ndihi quita tsi cua cuyahvi tsi. Puedo hacer el telar para una servilleta, y cuando esté terminada la voy a vender.",cuá nyii yo,nyii yo
263,nyíí xeehé yo,vi,estamos escondidos,Nyií xeehe ra tyin tsinu ra vehe caa. El está escondido porque escapó de la cárcel.,cuá cúnyii xeehé yo,tsinyii xeehé yo
264,nyisó yó,vt,"cargamos, llevamos","Yuhu nyisó yu nducu cuñí tsi tsa tyihyo ixta catsi yo. Cargo la leña, que es muy necesaria para cocer las tortillas que comemos.",cuá cuiso yó,nyiso yó
265,nyaá nyityi yo,vi,NA,NA,NA,estamos de pie
266,nyíyo iñi yO,vt,envidiamos,"Ra Juaan nyiyó iñi ra tsa tsii ra yañi ra, yacan cuví tsa cañí tahan xaan ra tsihin ra yañi ra. Juan envidia las cosas de su hermano, por eso pelea mucho con él.",cuá nyiyó iñi yo,nyiyo iñi yo
267,ñáhñi tsi,ve,NA,NA,NA,no hay (préstamo de otros pueblos mixtecos)
268,ñavi,ve,NA,NA,noes ¿A ñavi ndivi jana un cuví tsehe,"yooho Milio? ¿No es tuyo este pollo, Emilio?"
269,iin ñi cuví yo,vi,NA,NA,acuerdo lin yaha ñi adv inmediatamente maa ñi adv siempre; solamente ñicanyii (ñicanyii) s el sol ñicuatyi (ñicuátyí) s las señoritas,los jóvenes (mujeres o un grupo de mujeres y hombres)
270,ñicuii [variante de ñacuii] la zorra ñihí yo (ñíhi yo),vt,1. encontramos (algo que no estamos buscando),Nihi yu xuhun cuita nuñi cuví ixta catsi yo. Encontré dinero para comprar maíz para tortillas. 2. ganamos Ñihí yo xuhun tu jahá tyiñu yo. Cuando trabajamos ganamos dinero. 3. cosechamos ¿Nacaa jaha yo tsihin yiquin cuaha ñihi yo? ¿Qué vamos a hacer con tantas calabazas que cosechamos?,cua ñihi yo,ñihi yo
271,nañihí yo,vt,NA,NA,NA,encontramos (algo que buscamos)
