,code(s),citekey,title,gl_author,gl_year,med_type,topic,gl_med_type,gl_language_note,gl_pages_int
,,,Sa̱a̱ ku̱vi̱ sa̱ndaaˀ e̱ˀ ki̱tara (Cómo tocar la guitarra),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Ti lion xi'in kini iku,,2004,text,,wordlist_or_less,Alcozauca Mixtec [xta],
,,,Tu'un tee yuku idu,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tutu lu'lu chayoso kɨtɨ kwi'na,,2004,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Tutuˀ níso yakuˀ tu̱ˀun tu̱ˀun káˀánˀ kájí,,2004,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Uni kuentu ñuu yuku nama (Tres cuentos tradicionales de San Cristóbal Amoltepec en mixteco y en español),,2004,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,"Yu̱ˀuˀ tu̱n savi̱ˀ miiˀ yoo letra ""X"" (Palabras y frases que se escriben con la letra ""x"")",,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,¿A tsinu kue nto'o kiti?,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,¿A tsinu kue tsa'a kiti?,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,¿Nchii inkaa vilu?,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Bahasa kita: Bule pun bingung pada akronim kita,"Hardjoprawiro, Kunardi",2005,text,,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""pun"")",2
,,,Chuun luu ka ña sachuun xeen ti,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Cuento ilo xihin tiñi'i (El conejo y el zorrillo),,2005,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Cuentos cortos en el mixteco de Santiago Amoltepec (Kwentu kwi̵ti̵ tnu'u ñuu savi nkyavu yuku nama),,2005,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,El himno naciónal; Mixteco del municipio de Tezoatlán y español,,2005,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Kuéntú' i̵i̵n ñalúlí,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Kuéntú' lítú lá'ví só'ó,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Kuéntú' te̱̱e jín kiti̵ yúkú,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Kuéntú' te̱e jín ti̱chí,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Kunchau hora ka,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Kunka'vi hora ka,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Kwentu iso chi'in raa,,2005,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Kwentu li̵i̵ chi lili,,2005,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Naka'vo sa'an ntavi Xnuviko = Leamos en el mixteco de Mixtepec,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Numeru,,2005,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Rá te̱kuáchí jín yakuin,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Staa nti'i,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tnu'u chuun,,2005,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,To'lo ña ma nikuu kana,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tu'un chuun kuixin,,2005,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un sa'an ntavi,,2005,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tu'un tita ndi'i ndoko,,2005,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tutu lu'lu chayoso ki̵ti̵ kwi'na,,2005,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Yi̵yi̵' soó'ó,,2005,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,¿Naikuu ja tna'á chi'in?,,2006,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,<Na ka'u-ro tnu'u ñudau! (<Vamos a leer en mixteco!),,2006,text,,wordlist_or_less,Diuxi-Tilantongo Mixtec [xtd],
,,,Cuento ta dito ilo xi'in ta dito ndigue'i (El tío conejo y el tío coyote),,2006,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Nadakua'a ndo ka'vi ndo tu'un ñudavi ndo,,2006,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Nakixe'e ndo ka'vi ndo tu'un davi ndo,,2006,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ri vilu xi'in ya tiin lo'o,,2006,text,,wordlist_or_less,Alcozauca Mixtec [xta],
,,,Tina' kuí'ná (El perro ladrón),,2006,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,¡Na ka'vi o dañudavi! (¡Vamos a leer mixteco!): Mixteco de San Juan Teita,Salvador Salazar Santiago and Juan Pérez Pérez and Dale Eugene Barkley and Leanne Frantz de Barkley,2007,text,,wordlist_or_less,San Juan Teita Mixtec [xtj],55
,,,<Na ka'vi o dañudavi! (<Vamos a leer mixteco!),,2007,text,,wordlist_or_less,San Juan Teita Mixtec [xtj],
,,,Cuentu ndika'a y tikueñi,,2007,text,,wordlist_or_less,San Juan Teita Mixtec [xtj],
,,,Kue chuun ña yee nii kuia nuu ñoo,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Kue numero mancha iin sientu,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Likui tsi stiki,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ma sana ino sa'an ko,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ña niyu'u nchu'a,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ña xiko xikui,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Nakutu'a ko ka'ncha sava kue ña'a,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ñatu'un tuyuku Xnuviko,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Nixi kuu Ñu'u ncha'i; Sa'an ntavi xnuviko; Mixteco de Mixtepec,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Nixi ntsikoo sa'ma yakui ka,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ntantuku ichi,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ntintsitsa ntivixi,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ntinuni ntintsitsa,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ntiu'un lurru,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Sa'va tsi lochi,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tina nii tsi ntiva'u,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tnu'u ndichi ka ka'an ñayii nija'nu ma = Dichos de los ancianos del pueblo,,2007,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,Tu'un yata ñaña'a kua'in tsi inka chaa,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tu'un yata tsa'a kue kaa kaxi Xnuviko,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tu'un yata uvi veñu'u,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tutu ña sna'a nixi skua'a ñayivi,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tutu' níso yaku' tu̱'un ká'an' kájí,,2007,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Tuyuku ka'nu,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Tuyuku xnuviko,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Uni ntikuain,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Uvi ntikuina,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Viko tanta'a lakuku tsi ncho'o,,2007,text,,wordlist_or_less,Mixtepec Mixtec [mix],
,,,Ido nduku' tu'un,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ka'u-yo 1 ichi 100,,2008,text,,wordlist_or_less,Santa Lucía Monteverde Mixtec [mdv],
,,,Tu'un choto ti niko̱o̱ viko,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un ido ndi'i chi'in,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un idu ndi'i yi'i,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un ñaña duxen,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un ndiki yoo,,2008,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tutu' nákani ná nsa̱'á ɨɨn che̱tán; Mixteco del suroeste del distrito de Tlaxiaco,,2008,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,U̱ni̱' kuéntú' nna̱kani ɨɨn tátá' ñá'nú (Tres cuentos que contó anciano; Mixteco del suroeste del distrito de Tlaxiaco),,2008,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,U̱ni̱' kuéntú' nna̱kani ɨɨn tátá' ñá'nú (Tres cuentos que contó un anciano); Mixteco del suroeste del distrito de Tlaxiaco,,2008,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
unavailable,coat11,,Cartilla en mixteco de San Juan Coatzospan,"Small, Priscilla, Janet Turner and Dolores Acosta C.",1976,text?,,wordlist_or_less,"Coatzospan Mixtec [miz] (computerized assignment from ""coatzospan"")",108
,,,Maguey tapping in the highland Mixteco,"Mak, Cornelia; Cipriano Hernández, narrador",1977,text?,,wordlist_or_less,"Ocotepec Mixtec [mie] (computerized assignment from ""tapping"")",5
,,,Picturesque Mixtec talk,"Mak, Cornelia",1977,text?,,wordlist_or_less,Ocotepec Mixtec [mie],10
,,,Concordancia del idioma mixteco de Peñoles,Instituto Lingüístico de Verano,1961,vocabulary,,wordlist_or_less,"Peñoles Mixtec [mil] (computerized assignment from ""penoles"")",
,,,,,,,,wordlist_or_less,San Juan Colorado Mixtec [mjc],
