Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
511,dánátuu na,v.t.,"poner (al descubierto), revelar (un secreto)","Noó ta né'e choon dánátuu iin rá iin ñayuu kuachi na, dá keyíko sa'a ná. Delante de los autoridades cada persona confiesa (lit. pone al descubierto) su falta para ser juzgado. Deriv. de natuu na",dánátuu na,ni danátuu na,
512,nasaa ña,v.i.,"brotar, abrirse (una flor) saa na v. i. llegar (allá)","Tin kuu, dá ni saa ¡in ta sá'ano ve'e iin ta kui'íná. Un día un anciano llegó a la casa de un ladrón.",hab. sáa na,progr. kosaa na;  ni saa na,
513,ndesaá na,v.t.,NA,NA,NA,NA,"hacer nuevo, renovar"
514,4 ndusaá na,v.i.,NA,NA,haber cambiado (mucho),NA,cambiarse (para que sea nuevo)
515,sala ña,v.i.,estar rozado,"Káa vichí tóo ká'a taleé, dá chi sá'a ña. El bebé anda sin pañal un rato porque está rozado.",sá'a ña,ni sa'a ña,
517,ndo'o kuu na sa'a ná,yv.t.,NA,NA,NA,NA,ser amoroso (con alguien)
518,ndo'o na sa'a ná,yv.t.,NA,NA,NA,NA,amar (lit. sentir amor por alguien)
519,kaka sá'á ná,v.i.,NA,NA,NA,NA,ir (a pie)
520,4 kusaá ini na,v.i.,NA,NA,NA,NA,ponerse rebelde
521,sa!'ánó ná,v.i.,ahorcarse,"Ni nakao noo riatá diko kochí kúú ni sa'ánó ri kúú ni xi'i va rí. Se enredó la reata en el cuello del puerco, se ahorcó y se murió.",sá'ánó ná,ni sa'ánó ná,
522,sa iin ni kandoo na,yv.i.,NA,NA,NA,NA,haber hecho un acuerdo (definitivamente) Sa iin ni kandoo va David ña ko'on xi kadikí xi xí'ín Jonatán kuu lúnexi. David y Jonatán han hecho un acuerdo de definitivamente ir a jugar el día lunes.
524,ko'on na sarvé'e,v.i.,NA,NA,NA,NA,ir al baño (eufemismo) satá yáó ná (pres. de kata yáó ná) está rociando (ligeramente)
525,se'in ña,v.i.,partirse (la piel por la cal cuando lava el nixtamal o por el frío),"Sé'in ndá'a, sé'in sa'a, tá kóon yi'o. Se parte la piel de las manos y los pies cuando hiela.",sé'in ña,ni se'in ña,
526,4 tadi sopa ña,v.i.,NA,NA,NA,NA,aplastarse
527,dánda'á na;,v.t.,"1. componer, reparar",Ti'a na káa dánda'á na radio. Esa persona sabe componer radios. 2. sanar Kua'an tata dánda'áan noó kú'u ini na. La medicina va a sanar la herida interna. Deriv. de nda'a na,dánda'á na,ni danda'á na,
528,dánda'í na,v.t.,engañar,Deriv. de nda'í,dánda'í na,ni danda'í na,
529,dándáxi na,y.t.,mojar,Deriv. de ndaxi na,dándáxi na,ni dandáxi na,
530,dándée na,y.t.,estirar,Dándée xi kutí xi. Los niños estiran su chicle. Deriv. de ndee na;,dándée na,ni dandée na,
531,dándee na,v.t.,"1. transplantar, plantar","Ni dandée na iin ita rosá chi kátoó na xiní na ñá. Plantaron una rosa porque les gusta. 2. terminar de tejer (sombrero o petate) Dándee kíi ná mvélo, chi nómi ná ko'on na dikó náan. Están apresurados terminando los sombreros porque tienen prisa de ir a venderlos. Deriv. de ndee ña",dándee na,ni dandée na,
532,dándée na yú'u ná,v.£,interrogar (lit. estirar la boca),Dándée ta né'e choon yú'u ta kui'íná. La policía interroga al ladrón. Deriv. de ndee yú'u ná,dándée na yú'u ná,ni dandée na yú'u ná,
533,dándichi na,v.t.,NA,NA,NA,NA,hacer preguntas
534,taa na,v.i.,1. hacer tortillas,"Ni kiin yúsa dá ni'i ndóan taa ndó dita. Compré masa para que ustedes hagan tortillas. 2. escribir Ni taa xi tareá xi, dá ni sa ndú'u xí kídi xi. Escribió su tarea, entonces se acostó a dormir.",táa na,ni taa na,
535,"ta'ami na,",v.£,besar (un santo),"Tá ni sa io vikó ká'ano ñooi, dá ni sa'in ni ta'amii to'ó. Cuando hubo la fiesta grande de mi pueblo, fui a besar la imagen.",tá'ami na,ni tatami na,Sinón. tii yú'u ná
536,taán ná,v.t.,"1. poner, meter, echar (complemento plural)","Taán ná ndakí ini kubetá. Están echando nixtamal en la cubeta. 2. poner (anillos, collares, lentes, etc. a sí mismo o a otras personas) Taán ná uu dé'e ndá'a ná. Se pondrá dos anillos en la mano.",taán na,ni taán ná,Véase chikaa na
537,nataán ná,v.t.,NA,NA,NA,NA,"echar, poner (adentro, complemento plural)"
538,taan,v.i.,"temblar, rugir (la tierra)","Táan chi, táan chi. ¡Está temblando! ¡Está temblando!",táan,ni taan,
546,talanda ña,v.i.,NA,NA,NA,NA,"1. romperse, ser roto, reventarse Ni ta'anda va sati xi ni kee yíto. Su pantalón se rompió con el palo. 2. estar cortado Tá'anda do'o kíti. Ñoó naníán marká. Las orejas de los"
547,ta'anda choon noo ná,y.i.,recibir órdenes,Ni ta'anda choon noó de'e na kava'a xi mvélo. Los hijos de ella recibieron la orden de hacer sombreros. Deriv. de choon,tá'anda choon noo ná,ni tatanda choon noo ná,
549,ta'anda tó'on ini na,yv.i.,1. sentirse herido (emocionalmente),"Ni ya'a na ve!e na noo ná sa'á ñoó tá'landa tó'on ini na; tár'u'u ini na. El  familiar de ella la ofendió y por eso se sintió herida en el corazón; está muy dolida.  2. sentirse lastimado (emocionalmente), tener resentimiento (emocional) Tá'anda tó'on inii sa'a xí, chi ko ní ni'í xi koo xí'íín. Me siento profundamente lastimado por ella porque no conseguí que fuera mi esposa.",tá'anda tó!'on ini na,ni ta'anda tó'on ini na,
550,nata'ano na,v.i.,NA,NA,NA,NA,doblar (en la esquina)
551,taán vá!a na,yv.t.,"guardar, conservar (complemento plural) ¿","Á ni taán vá'ón ditón? ¿Guardaste el dinero? Comp. de taán ná, va'a",taán vá!a na,ni taán vá'a na,
552,nataán vá!'a na,v.t.,NA,NA,NA,NA,guardar (complemento plural)
553,kuita tachí ña,v.i.,NA,NA,inflarse,NA,ampollarse
554,tadi ña,v.i.,1. aplastarse (cosa),"Ni tadi ndi'i kuií ndíka ña ni sa ño'an volsá. Se aplastaron todos los plátanos que estaban en la bolsa. 2. aplastarse (persona) Nákaa ra sa'ándá ra yíto kúú ni kana kao ró sata rá, ta kúú ni tadi ra. Estaba cortando un árbol y se cayó sobre él y lo aplastó (lit. él se aplastó).",tádi ña,ni tadi ña,Véase kadi na
555,ta!í iní na,v.t.,"pensar, analizar, planear ló na tá'í iní na ndi koo kee na dá kana va'a choon na.",Él está pensando en cómo realizar un buen trabajo.,tá'í iní na,ni ta'í iní na,
556,tanda'á ná,yv.t.,"mandar (carta, dinero)",Ni tanda'á ná kartá vei nooí. Me mandaron cartas.,tánda'á ná,ni tanda'á ná,
557,tanda'a ná,y.i.,NA,casarse,tánda'a ná,ni tandá'a ná,Var. tarnda'a ná
558,dárnda'a ná,v.t.,"casar (al hijo) ta ndaá s. zumaque (especie de arbusto grande con florecitas blancas, hojas pequeñas casi redondas, algunas hojas rojas.) tanda'á ná choon v. t mandar, enviar (razón)",Dá ni tanda'á ná choon kua'an kasaa ra noo koo víko. Entonces mandó razón para que vengan a la fiesta. Deriv. de choon,tánda'á ná choon,ni tanda'á ná choon,
560,dándió na,y.t.,hacer que voltee,"Ndaá kua'an na dándió va na yíto ká'ano káa, chi sa ni sa'anda va na sa'a ra. Van a voltear (lit. Van a hacer que voltee) aquel árbol grande porque el tronco ya está cortado. Deriv. de ndio ña",dándió na,ni dandió na,
561,dándió kao na,y.t.,hacer que se voltee (por completo),Deriv. de ndió kao na,dándió kao na,ni dandió kao na,
562,dándixi na,v.t.,"1. poner (ropa a otra persona), vestir (a otra persona)","Ko'in dándixi taleéi da'ón saá xi, chi ni ndi'i ni chichí xí. Voy a ponerle la ropa nueva a mi bebé porque acabo de bañalo. 2. poner (rebozo o sarape a otra persona) Deriv. de kandixi na",dándixi na,ni dandíxi na,
563,dándóo na,yv.t.,1. lavar,"Ni dandóo na dá'on, dá chi yakó nda'a vaan. Lavó la ropa porque estaba muy sucia. 2. borrar Ni dandóo na ña ni taa na noo kuadernó na, dá chi ni tuu vaan. Él borró lo que escribió en su cuaderno porque estaba mal escrito. Deriv. de ndoo ña",dándóo na,ni dandóo na,
564,ko né'e tandíni,v.i.,NA,NA,NA,NA,no importa nduchí seí yí'í ná xí'ín dita. Ta kána
565,ndataó ná,y.t.,NA,NA,sacar (fotografía),NA,"tallar, esculpir; dibujar"
566,taó díin na,y.t.,"separar, apartar, clasificar","Ni taó díin na chee na, chi káryíí vá na, chi ya'i nda'o kí!in na ndáka na ri. Él separó sus bueyes; está enojado porque el vaquero cobra muy caro para cuidarlos. Deriv. de díin",taó díin na,ni tao díin na,
568,tarkue'e na,v.i.,lastimarse,"Ni tarkue'e sa'a ná ni kee yuu. Se lastimó su pie con la piedra. Deriv. de kue'e,",tárkue'e na,ni tarkue'e na,Var. takue'e na
569,dárkue'e na,v.t.,NA,NA,NA,NA,"lastimar (físicamente), herir"
570,tarndaa ña,v.i.,ser quitado,Ni tarndaa iin botoní. El botón fue quitado.,tárndaa ña,ni tarndaa ña,
572,k0ó ka tataán,v.i.,NA,NA,no haber remedio 4 ve'e tata s. hospital,NA,farmacia
573,ka'an tata na,v.i.,NA,NA,NA,NA,tartamudear
574,tati na,v.t.,encargar (un mandado o un favor),Ni tati na tató'o kuiin ra mvélo ná noo yá'i. Él le encargó a un hombre comprar un sombrero para él en la plaza.,tatí na,ni tati na,
575,kutati na,v.i.,NA,NA,NA,NA,"estar cansado tatichí s. aguacate (árbol) Deriv. de tichí tati'ón s. cazahuate (especie de árbol) Tá seí kíti tati'ón, dá xíni rí. Cuando chivos comen el cazahuate, se emborrachan."
576,ta'u'u na,v.i.,"1. doler, sentir dolor","Ni tartu'u ndava'o dini María, noó ni ñani yuu. A María le dolió mucho la cabeza donde le pegó la piedra. 2. lastimarse Ni kankao na ta kúú ni tartu'u na. Se cayó y se lastimó.",tá'u'u na,ni ta'u'u na,Var. tar'u'u na
578,dátayá na,v.t.,NA,NA,NA,NA,aflojar
579,4 tei tóo na,v.t.,NA,NA,NA,NA,prestar (lit. dar por un rato)
580,dátei'i na,v.t.,abonar (con abono de animal) tei'i ña v. i podrirse,"Ni xiniinoo kándu'u iin vúrro ni xi'i ri, sa ni tei'i va rí. Vi donde está un burro muerto ya se pudrió.",tei'í ña,ni tei'i ña,
581,tei tóo na,y.t.,prestar (lit. dar por un rato),"Tei tóo ní lápi ní ná taai. Présteme usted su lápiz para que escriba. Comp. de tei na, tóó",téi tóo na,ni tei tóo na,Sinón. kilo tóo na tér (Var. de tído) pero
582,dándó'o naní na,v.t.,"hacer que sufra (físicamente), forzar (a trabajar mucho)",Dándó'o naní na chee na chi kua'a xíti na iin kuu. Él fuerza mucho a su yunta porque siembra mucho en un día.,dándó'o naní na,ni dandó'o naní na,
583,dándó'o naní nío ná,y.t.,hacer que sufra (emocionalmente),"Dándó'o naní nío rá ñadi'í ra chi nda'í ióan, ko kádii inían. Él hace sufrir a su esposa; ella se ve triste y no muestra alegría.",dándó'o naní nío ná,ni dandó'o naní nío ná,
584,dándóto na,y.t.,despertar,"Ni dandóto na'a na de'e na, ni ndakoo xi kua'an xi kuio xi títo katoní na. Ella despertó a su hijo de madrugada para que fuera a traer leña para su lumbre. Deriv. de ndoto na",dándóto na,ni dandóto na,
585,dándúkuxí na,y.t.,blanquear,Dándúkuxí na dá'on xí'ín klarasól. Están blanqueando la ropa con cloro. Deriv. de ndukuxí ña,dándúkuxí na,ni dandúkuxí na,
586,dánduti na,y.t.,"derretir (cera, plástico)",Dánduti na ñoma dá kava'a na íti xí'ín ndirá ñoma. Ellos están derritiendo la cera para hacer velas.,dánduti na,NA,pas. ni dandúti
588,dánduu na,v.t.,NA,NA,NA,NA,"servir, repartir (comida y bebida) Ni kaki kéôn na dánduu noô koo víko tánda'a. Escogiô a propésito a las personas que van a negros. Las cosas chiquitas que tiene adentro son como las semillas de calabaza y se comen. Véase torí dindá"
589,4 dátiin na,yv.t.,NA,NA,NA,NA,pegar (con pegamento)
590,katiin ndaa na,v.t.,NA,NA,jalar (con reata),NA,"llevar (de la mano); tomar (como excusa); usar (un ejemplo) 4 natiin na v. t recibir 4 natiin ndaa na v. t guiar, dirigir (moralmente) 4 natiin ña v. i ser pegado (planta, parche) 4 natiin va!a na y. t. recibir (bien); dar la bienvenida"
592,tii yú'u ná,v.t.,besar (un santo),"Ni sa'an na ni tii yú'u ná to'ó, chi kuu víko ká'ano kíán. Fue a besar a su santo porque hoy es el día de la fiesta de ese santo.",tíi yú'u ná,ni tii yú'u ná,Var. tiin yú'u ná Sinón. tatami na>
593,nduríkásá ñá,v.i.,NA,NA,NA,NA,"ponerse duro, ponerse tieso"
594,ndutiñóno ña,v.i.,NA,NA,NA,NA,llenarse (de hoyitos o agujeros) tiñoo s. estrella tiñoó s. 1. gallina 2. pollo
595,koon pe'ela tixi na,v.i.,NA,NA,NA,NA,tener diarrea (muy líquida)
596,dánkoo na,v.t.,dejar,"Ni dankooi taleéi ve'e, chi vee ndava'o xi kii xi. Dejé a mi bebé en la casa porque pesa mucho.",dánkoo na,ni dankoo na,"Var. dánákoo na, dándákoo na"
597,dánkoo nda'í na,y.t.,NA,NA,NA,NA,"dejar (en la miseria), arruinar Ni kandeé tandó'ó ni dankoo nda'í ña ná chi ni dikó ndi'i na ña'a na, dá ni ndi'i tandó'ó na. El problema causó la ruina de ellos porque vendieron todos sus bienes para resolverlo."
598,dánkoo ndava'a na,yv.t.,"dejar, abandonar (sin lástima)",Ni dankoo ndava'a na de'e kuálí na kua'an na víko. Dejaron abandonados a sus hijitos y se fueron a la fiesta.,dánkoo ndava'a na,ni dankoo ndava'a na,
600,dánkoo vii ná,v.t.,1. dejar (limpio),"Ni dandákoo vii ná ve'e na. Dejó su casa limpia.  2. purificar Ni dandákoo vii ná ndudí. Purificó la miel.  3. limpiar (su reputación) Ni kandeé ná ni dankoo vii ná mií ná noó ta né'e choon, chi ni keyíko va'a sa!a ná. Él logró limpiar su reputación delante de las autoridades porque demostraron su inocencia.",dánkoo vií ná,ni dankoo vií ná,Var. dándákoo vii ná
601,4 kutondó na,v.i.,NA,NA,volverse enojón,NA,volverse rebelde y agresivo
602,ndutondó na,v.i.,NA,NA,NA,NA,ponerse bravo
603,kaka tóo na,v.t.,NA,NA,NA,NA,pedir prestado (lit. pedir por un rato) 4 ki'in tóo na v. t. tomar prestado
604,ki'o tóo na,v.t.,"prestar (lit. dar por un rato) 4 koni tóo na v. t. querer prestado 4 tei tóo na y. t. prestar (lit. dar por un rato) too rá v. i salir (líquido), gotear","Ni too takuií yú'u yaví, dá chi ko ní sadí va'a na yú'án. La llave del agua estuvo goteando, porque no la cerraron bien.",tóo rá,ni too rá,
605,kandei toon na,yv.i.,NA,NA,NA,NA,"radicar, vivir (permanentemente)"
606,kandita toon na,v.i.,NA,NA,permanecer (en su lugar),NA,"ser íntegros, permanecer firmes (sujeto plural)"
607,ketoon na,v.t.,NA,NA,NA,NA,"apretar, ajustar"
609,4 dasá tó'on na,y.t.,NA,NA,difamar,NA,
610,kilo na to'on na,yv.t.,NA,NA,prometer,NA,dar consentimiento
611,naki'in tá'an to'on na,v.i.,NA,NA,ponerse de acuerdo 4 ni'i tó'on na v. t recibir (noticias),NA,"enterarse 4 taó tó'on na v. i. pedir (información), investigar to'onz conj. como Kúú káa iin ndika'a kándu'u ri, to'on káa iin chitó tá kua'an ri tiin rí tiyóto. Y estaba un león echado, como si fuera un gato listo para atrapar a un ratón. 4 tá to'on conj. como"
612,ka'an to'ón ná,v.i.,NA,NA,NA,NA,mentir
613,ndo'o na tuchi,y.i.,NA,NA,sentirse mal (por cargar algo pesado o trabajar muy duro),NA,padecer (de baja o alta presión)
614,tuti tuti na,v.t.,chiflar,"Tutí na tor kua'an na yúku. Cuando él va al monte chifla. (Según la tradición, no es apropiado que las mujeres chiflen.)",tutí na,ni tuti na,
615,tuu na,v.t.,1. chocar,"Ni tuu kamiôn káa ve'e. El carro chocó la casa. 2. clavar Túu na íon taleé, dá chi kú'u xi. Ellos inyectan (lit. clavan una jeringa) al bebé, porque está enfermo. 3. prensar (hierbas)",túu na,ni tuu na,
616,tuu na,v.t.,1. soplar (con la boca)  2. tocar (instrumento musical de viento),Ko'in tuui iin yaa xí'ín ker tuúi. Voy a tocar una canción con la trompeta.,tuú na,ni tuu na,
617,tuu ndaa dií na,v.£,escupir,"Túu ndaa dií na ñayuu, tor xiní u'u ñá ná. Na yatá va kúú na kée dión. Escupen a la gente, si no se llevan bien con ellos. Las personas grandes son las que hacen así.",túu ndaa dií na,ni tuu ndaa dií na,
619,tuu na tachi,y.t.,inflar (por soplar con la boca),"Ni sa'an na ni xiin na glovó kadikí de'e na, tído ko ñá'a ta'on tuu na tachi ri. Ellos fueron a comprar globos para sus hijos, pero todavía no los inflaron.",tuú na tachi,ni tuu na tachi,
620,"vu tu'u rá tu'u adv. grupo por grupo Tor nátu'ú ná keí ñoo, dá tá'anda na kua'an na tu'u rá tu'u na kua'an na natu'ú ná keí. Cuando limpian las calles del pueblo, la gente se divide y grupo por grupo barren las calles. Deriv. de tu'u Sinón. tá tu'u tá tu'u tuxí ná",v.t.,"1. pelar (papas, piñas)","Túxí ná tikuití xí'ín yúchi. Ella está pelando las papas con cuchillo. 2. labrar, limpiar (madera con herramienta) Túxí ná yíto kava'a na mesá. Ya están limpiando la madera para hacer una mesa.",túxí ná,ni tuxí ná,
622,4 ku'u'u ña,v.i.,NA,NA,NA,NA,doler
623,kanina vaa na,v.i.,NA,NA,hacer ruido,NA,alborotarse
625,kaño'o va'a ini na,v.i.,NA,NA,NA,NA,sentirse contento (con alguien)
626,keva'a na,v.i.,NA,NA,NA,NA,"tener éxito, beneficiarse"
627,koo va'a na,v.i.,NA,NA,NA,NA,"estar bien, sentirse bien (de salud)"
628,4 nachindei va'a na,y.t.,NA,NA,NA,NA,reconciliar
629,4 naki'in va'a na,v.t.,NA,NA,NA,NA,recoger
630,4 nandei va'a na,v.i.,NA,NA,volvera vivir (juntos en paz),NA,reconciliarse
631,4 natiin va!a na,y.t.,NA,NA,recibir (bien),NA,dar la bienvenida
632,4 ndee va'a ña,v.i.,NA,NA,NA,NA,estar guardado (adentro)
634,dánoo na,yv.t.,"1. encajonar (la milpa, reg.)","Kua'an na dánoo na iti na, chi sa ni kuná'ano ndava'a van. Ellos se fueron a encajonar su milpa, porque ya está muy grande. (Encajonar es arar la tierra una última vez, antes de la cosecha.) 2. tallar, masajear (con un palo) Dánoo na tañoó sata ná dá sadi ña na, chi kútooan. Ella talla el palo de nixtamal en su espalda masajeándola porque siente molestia.",dánoo na,ni danoo na,Var. dándanoo na
635,dánóo na,v.t.,bajar,Dánóo na ndayo'o noo yíto káa keí kuéi ná. Ellos bajan zacate de ese árbol para que coma su caballo. Deriv. de noo na,dánóo na,ni danóo na,
636,ka'anda dao na,v.t.,NA,NA,partir (a la mitad),NA,separar
637,ndata dao ña,v.i.,NA,NA,"rajarse (por la mitad) 4 ta'i dáo ña v. i. ser dividido (en dos partes iguales) dao, adj. varios, algunos ló dao yíto xí!o kui'i, ta ió dao ka ra ko xí!'o ña. Hay algunos árboles que dan frutas y otros que no dan. dáó 1. adj. igual (de aparencia), parecido Dáó káa va de'e ní xí'ín tatá xi. Su hijo es parecido al papá. 2. adj. mismo (tamaño o medida) Ko dáó ta'on de'i xí'ín dio xi",NA,"ni kandoo kálano van. A mi hija no le quedó su falda; le quedó grande. 3. adv. junto Dáó né'e tá'an va ve'i xí'ín de'i. Mi casa está junto a la de mi hijo. da'o s. barranca (profunda) Nákaa iin da'o yu'ú puenté kúú ni kankao iin vaká nanái, kúú ni xi'i va rí. Hay una barranca cerca del puente y una vaca de mi mamá se cayó y se murió."
638,koo vichí ná,v.i.,NA,NA,NA,NA,estar desnudo (sujeto singular)
639,kandoo vii ná,yv.i.,NA,NA,NA,NA,"quedar limpio, quedar puro"
640,nduvii ná,v.£,NA,NA,"limpiar, arreglar (casa o terreno)",NA,"limpiarse, arreglarse 4 taxi vii ná v. t limpiar, poner en orden"
642,xino na,y.i.,llegar (abajo),"Tá ni xino ní keí sá'an Ñadeen, nata'ano ní ko'on ní xoo Kónti. Cuando lleguen abajo a la calle que va a Huajuapan, doblen a la esquina y vayan al lado de Yucu Ñuti.",xíno na,ni xino na,Var. kuino na
643,dáxino na,v.t.,NA,NA,NA,NA,terminar
644,xino ña,yv.i.,salir (el,"Sol, la Luna, una estrella) Sa ni xino va yoo sáá. Ya salió la luna nueva.",xíno ña,ni xino ña,
645,xinokoo na,v.i.,"1. llegar (arriba, suj. sing.), subirse (sujeto singular)","Ko kándéé takuií potablé xinokoo rá, chí nino ndava'o kíán. El agua potable no aguanta a subir y el lugar está muy arriba. 2. cumplirse (sujeto singular) Ni xinkoo ña nákani ini na. Se cumplió su deseo. 3. llegar (a una meta, sujeto singular) Ni xinokoo na kúú ná maestó. Llegó a ser maestro.",xínokoo na,ni xinokoo na,Var. xinkoo na Véase xinokuei na
646,dáxinkoo na,v.t.,NA,NA,terminar (hacia arriba),NA,cumplir
647,xinokuei na,v.i.,"1. llegar (arriba), subirse (sujeto plural)","Tá ni kasá'á koo juntá, dá ni kasá'á xínokuei na yé'é chóon, kueídó'o na ndi kián koo. Cuando empiece la junta, ellos empiezan a llegar arriba a la agencia para escuchar que es lo que va a haber. 2. llegar (a una meta, sujeto plural) Cho'on ini ndo dá xinkuei ndó kee ndó ndidaá kúú ña va'a kóni mií ndó. Esfuércense para llegar a alcanzar todo lo bueno que desean.",xínokuei na,ni xinokuei na,"Var. xinakuei na, xinkuei na Véase xinokoo na"
648,4 nadaon na,v.t.,NA,NA,NA,NA,"cambiar (una cosa por otra), alterar (de un lugar a otro)"
650,nakadi na dá'on,v.t.,NA,NA,NA,NA,planchar dao nduú adv. al mediodía
651,dá'oon na,v.i.,aceptar,"Dá'oon va xi tá sa'ándá na choon noo xí, dá chi ko kádúsá ta'on xi. Él acepta lo que le mandan a hacer porque no es flojo.",dá'oon na,ni da'óon na,
652,dasa ña,y.i.,anunciarse,Dása to'on sa!a doktór sa'á ña kétátá va'a ra. Se anuncia la noticia de que el doctor cura bien.,dása ña,ni dasa ña,
653,nadasa ñá,v.i.,NA,NA,NA,NA,repartirse
654,dasá tó'on na,v.t.,NA,NA,NA,NA,"1. difamar Dasá tó'on na yu'u, chi ká'án ná ña kúú yu'u ñayuu ko vá'a kée. Ellos me difaman porque piensan que soy una persona de mala conducta."
655,koni xíxina,v.t.,NA,NA,traicionar,NA,profanar
656,dáxixi na,v.t.,NA,NA,cernir,NA,"colar xíxiini adj. maldadoso, grosero Comp. de xíxi, ini; xíxio adv. muy Comp. de xíxi, va xXOO 1.s. lado lin ka xoo tá'i kándu'u ñó'í. Mi terreno está al otro lado de la barranca. 2. adv. aparte Ndíko xoo va vaká ndáka leé, chi ko sá'an ka ri yúku. La vaca con cría está amarrada aparte porque ya no va al monte."
657,"yaa, s. canto, canción ¿Á seídó'o ní yaa? ¿Escucha usted el canto? 4 kuein na yaa",v.i.,NA,NA,NA,NA,bailar (lit. pisar cantos)
658,dáyaa na,v.t.,NA,NA,tirar (piedras),NA,soltar
659,kuu ya'a na ko'on na,v.i.,"estar despedido, estar expulsado ya'á chiliénchó s. chile (poblano) ya!á guajíiyó s. esp. chile (guajillo) ya!á ichí s. chile (seco) ya'á kuíi s. chile (verde) yaa ndá'a ná v. i. 1. dejar (abandonado)",Ni yaa ndá'a va chee na kua'an ri xían ndeí ñó!o rí viti. Dejaron abandonados a los bueyes; quién sabe donde estén ahora. 2. ser condenado (fig.) Ni yaa ndá'a ná kua'an na ve'e kaa ni kee ta né'e choon. Él fue condenado por las autoridades para ir a la cárcel.,yáa ndá'a ná,ni yaa ndá'a ná,
660,ya!a yú'u ná,v.t.,ofender (a alguien),Ni tar'u'u ini malí na chi ni ya'a yú'u ná ni ka'an na xí'ín ná. Su comadre se sintió triste porque ella la ofendió.,yá!a yú'u ná,ni ya'a yú'u ná,
661,naki'in ya'ina,v.t.,NA,NA,,NA,v.i cobrar (un préstamo); vengarse
662,dáyako na,v.t.,NA,NA,NA,NA,ensuciar
663,yako ña,v.i.,ensuciarse,Ko ú'u ví yáko sati kuxí. No es difícil que se ensucien los pantalones blancos.,yáko ña,ni yako ña,
664,yakó na,v.£,"limpiar (con agua), enjuagar ¿",Á nákaa ní yakó ní ká'a taleé ní? ¿Está limpiando a su bebé?,yakó na,ni yakó na,Antón. dáyako na
665,yakó ndá'a ná,v.t.,1. limpiar (con la mano),Yakó ndá'a ná ini kidi noo ni cho'o ndakí dá nduvií ná ña. Ella limpia con la mano dentro de la olla donde se coció el pozole. 2. acariciar Yakó ndá'a ná dini xí. Está acariciando la cabeza del niño. Deriv. de yakó na,yakó ndá'a ná,ni yakó ndá'a ná,
666,chindei yáó ná,v.t.,NA,NA,NA,NA,"extender (sobre algo, complemento plural)"
667,koon yáó dai,v.i.,NA,NA,NA,NA,"chispear, lloviznar"
668,ko'ono yáó ná,yv.t.,"rociar, regar yata ña v. i. ser hechas (tortillas)",Né'i yúsa ni kasái yata dita i'íní kaxio. Traje masa para hacer (lit. para que sean hechas) tortillas calientes.,yáta ña,ni yata ña,
669,ndeyíko na,v.t.,NA,NA,poner (en orden),NA,"arreglar yí koño (Var. de yikí koño) cuerpo yio, s. menudo, panza (de res para barbacoa) Kua'an na nakata va'a na yio chee, dá ví dá cho'án xito. Se fueron a lavar bien la panza del toro, para cocerla en el horno de barbacoa."
670,4 cho'o yókó ñá,v.i.,NA,NA,NA,NA,cocerse (al vapor) 4 táyoko s. espíritu (malo)
671,dáta'án na,v.t.,"molestar, provocar",Ni data'án na kiríñoño; sa'á ñoó ni seí ñá rí. Molestaron a las abejas; por eso les picaron.,dáta'án na,ni data'án na,
672,dátai chi'an na,y.t.,maldecir (,"En Yutatío existe la creencia que cuando alguien ofende a un anciano, el anciano lo maldice y su vida se complica: tiene conflictos, se enferma, le cambia el carácter y tiene mala suerte.)  Deriv. de katai chi'an na",dátai chi'an na,ni datái chi'an na,
673,dátai kuachi na,y.t.,culpar (lit. endeudar pecado),"Dátai kuachi na ñani tá'an na, va'árá ko ndáa. Ellos culpan a su semejante, aunque es inocente.",dátai kuachi na,ni datái kuachi na,
674,nadátaká na,y.t.,NA,NA,NA,NA,"recoger, rejuntar"
675,dáxino na,yv.t.,terminar,Ko'o dáxino yó mvélo yo dá kakuuan iin dosená. Vamos a terminar nuestros sombreros para hacer una docena. Deriv. de xino na,dáxino na,ni daxíno na,
676,dáyaa na,v.t.,1. tirar (piedras),Dáyaa xi yuu noo laa chi tó'on nda'o rí iti ndu. El niño tira piedras a los pájaros porque arrancan nuestra milpa.  2. soltar Ni dayáa xi ndá'a taleé kúú ni yaa va xi. Él le soltó la mano al bebé y este se cayó.  Deriv. de yaa na,dáyaa na,ni dayáa na,
677,yu'ú na,v.t.,"1. tener miedo, tener temor","Yu'ú na kudi na xí'ín taleé chi yu'ú na kandí'i na xi. Ellos tienen miedo de dormir con el bebé porque temen aplastarlo. 2. asustar Kua'an xi nako'oni xi chee, kúú ni yu'ú xi ni kee rí. El niño se fue a amarrar al toro, pero el toro lo asustó. 3. respetar Dá ná kasto'ó xí'ín xí ná kooan yu'ú xi yó. Entonces les diremos que ellos tendrán que respetarnos.",yu'ú na,ni yu'ú na,Var. kayu'ú na
678,yu'ú ni'ini na,v.£,1. respetar,"Yu'ú ni'ini na na yatá ve'e na, sa!'á ñoó kée ndúsá'ano na, ko kée na ña ko vá'a. Él respeta a sus padres, por eso se porta bien. 2. tener temor Ni yu'ú ni'ini na kanoo na, chi kanani na kee yíi ná. Ella tiene temor de andar paseando porque su marido la va a regañar.",yu'ú ni'ini na,ni yu'ú ni'ini na,
